key,value,date
Zhen Gao,0,2002
Zhen Gao,0,2003
Zhen Gao,0,2004
Zhen Gao,0,2005
Zhen Gao,0,2006
Zhen Gao,0,2007
Zhen Gao,2.0,2008
Zhen Gao,1.0,2009
Zhen Gao,0,2010
Zhen Gao,0,2011
Zhen Gao,0,2012
Zhen Gao,0,2013
Zhen Gao,0,2014
Jing Fu,0,2002
Jing Fu,0,2003
Jing Fu,0,2004
Jing Fu,0,2005
Jing Fu,0,2006
Jing Fu,0,2007
Jing Fu,1.0,2008
Jing Fu,0,2009
Jing Fu,0,2010
Jing Fu,0,2011
Jing Fu,0,2012
Jing Fu,0,2013
Jing Fu,0,2014
Ryota Akai,0,2002
Ryota Akai,0,2003
Ryota Akai,0,2004
Ryota Akai,0,2005
Ryota Akai,0,2006
Ryota Akai,0,2007
Ryota Akai,1.0,2008
Ryota Akai,0,2009
Ryota Akai,1.0,2010
Ryota Akai,1.0,2011
Ryota Akai,0,2012
Ryota Akai,0,2013
Ryota Akai,0,2014
Eric Bibeau,0,2002
Eric Bibeau,0,2003
Eric Bibeau,0,2004
Eric Bibeau,0,2005
Eric Bibeau,0,2006
Eric Bibeau,0,2007
Eric Bibeau,1.0,2008
Eric Bibeau,0,2009
Eric Bibeau,0,2010
Eric Bibeau,1.0,2011
Eric Bibeau,0,2012
Eric Bibeau,0,2013
Eric Bibeau,0,2014
Kazuhiro Izui,2.0,2002
Kazuhiro Izui,2.0,2003
Kazuhiro Izui,3.0,2004
Kazuhiro Izui,4.0,2005
Kazuhiro Izui,2.0,2006
Kazuhiro Izui,3.0,2007
Kazuhiro Izui,4.0,2008
Kazuhiro Izui,2.0,2009
Kazuhiro Izui,0,2010
Kazuhiro Izui,0,2011
Kazuhiro Izui,0,2012
Kazuhiro Izui,0,2013
Kazuhiro Izui,0,2014
Rikard Soderberg,1.0,2002
Rikard Soderberg,0,2003
Rikard Soderberg,0,2004
Rikard Soderberg,0,2005
Rikard Soderberg,0,2006
Rikard Soderberg,0,2007
Rikard Soderberg,2.0,2008
Rikard Soderberg,0,2009
Rikard Soderberg,0,2010
Rikard Soderberg,1.0,2011
Rikard Soderberg,0,2012
Rikard Soderberg,1.0,2013
Rikard Soderberg,1.0,2014
Jiachuan Wang,0,2002
Jiachuan Wang,0,2003
Jiachuan Wang,0,2004
Jiachuan Wang,1.0,2005
Jiachuan Wang,0,2006
Jiachuan Wang,0,2007
