key,value,date
Chan Yu,1.0,2002
Chan Yu,1.0,2003
Chan Yu,0,2004
Chan Yu,0,2005
Chan Yu,2.0,2006
Chan Yu,0,2007
Chan Yu,1.0,2008
Chan Yu,0,2009
Chan Yu,0,2010
Chan Yu,0,2011
Chan Yu,0,2012
Wei Chen,3.0,2002
Wei Chen,3.0,2003
Wei Chen,3.0,2004
Wei Chen,2.0,2005
Wei Chen,3.0,2006
Wei Chen,2.0,2007
Wei Chen,2.0,2008
Wei Chen,8.0,2009
Wei Chen,3.0,2010
Wei Chen,4.0,2011
Wei Chen,3.0,2012
Irem Y Tumer,0,2002
Irem Y Tumer,0,2003
Irem Y Tumer,0,2004
Irem Y Tumer,1.0,2005
Irem Y Tumer,3.0,2006
Irem Y Tumer,0,2007
Irem Y Tumer,0,2008
Irem Y Tumer,0,2009
Irem Y Tumer,0,2010
Irem Y Tumer,1.0,2011
Irem Y Tumer,1.0,2012
Gianna GomezLevi,0,2002
Gianna GomezLevi,0,2003
Gianna GomezLevi,1.0,2004
Gianna GomezLevi,0,2005
Gianna GomezLevi,2.0,2006
Gianna GomezLevi,1.0,2007
Gianna GomezLevi,0,2008
Gianna GomezLevi,0,2009
Gianna GomezLevi,0,2010
Gianna GomezLevi,0,2011
Gianna GomezLevi,0,2012
Kazuhiro Izui,2.0,2002
Kazuhiro Izui,2.0,2003
Kazuhiro Izui,3.0,2004
Kazuhiro Izui,3.0,2005
Kazuhiro Izui,2.0,2006
Kazuhiro Izui,3.0,2007
Kazuhiro Izui,3.0,2008
Kazuhiro Izui,2.0,2009
Kazuhiro Izui,0,2010
Kazuhiro Izui,0,2011
Kazuhiro Izui,0,2012
Ryan S Hutcheson,0,2002
Ryan S Hutcheson,0,2003
Ryan S Hutcheson,0,2004
Ryan S Hutcheson,0,2005
Ryan S Hutcheson,2.0,2006
Ryan S Hutcheson,0,2007
Ryan S Hutcheson,0,2008
Ryan S Hutcheson,1.0,2009
Ryan S Hutcheson,0,2010
Ryan S Hutcheson,0,2011
Ryan S Hutcheson,0,2012
Farrokh Mistree,3.0,2002
Farrokh Mistree,1.0,2003
Farrokh Mistree,2.0,2004
Farrokh Mistree,5.0,2005
Farrokh Mistree,4.0,2006
Farrokh Mistree,3.0,2007
Farrokh Mistree,1.0,2008
Farrokh Mistree,3.0,2009
Farrokh Mistree,2.0,2010
Farrokh Mistree,1.0,2011
Farrokh Mistree,0,2012
G K Ananthasuresh,1.0,2002
G K Ananthasuresh,0,2003
G K Ananthasuresh,0,2004
G K Ananthasuresh,0,2005
G K Ananthasuresh,2.0,2006
G K Ananthasuresh,0,2007
G K Ananthasuresh,0,2008
G K Ananthasuresh,0,2009
G K Ananthasuresh,0,2010
G K Ananthasuresh,0,2011
G K Ananthasuresh,0,2012
Fabrice Alizon,0,2002
Fabrice Alizon,0,2003
Fabrice Alizon,0,2004
Fabrice Alizon,0,2005
Fabrice Alizon,2.0,2006
Fabrice Alizon,2.0,2007
Fabrice Alizon,2.0,2008
Fabrice Alizon,1.0,2009
Fabrice Alizon,0,2010
Fabrice Alizon,0,2011
Fabrice Alizon,0,2012
Xiangdong Yang,0,2002
Xiangdong Yang,0,2003
Xiangdong Yang,0,2004
Xiangdong Yang,0,2005
Xiangdong Yang,2.0,2006
Xiangdong Yang,0,2007
Xiangdong Yang,0,2008
Xiangdong Yang,0,2009
Xiangdong Yang,0,2010
Xiangdong Yang,0,2011
Xiangdong Yang,0,2012
Janis P Terpenny,0,2002
Janis P Terpenny,0,2003
Janis P Terpenny,2.0,2004
Janis P Terpenny,0,2005
Janis P Terpenny,2.0,2006
Janis P Terpenny,0,2007
Janis P Terpenny,0,2008
Janis P Terpenny,0,2009
Janis P Terpenny,0,2010
Janis P Terpenny,0,2011
Janis P Terpenny,0,2012
Krishnan Suresh,0,2002
Krishnan Suresh,0,2003
Krishnan Suresh,0,2004
Krishnan Suresh,0,2005
Krishnan Suresh,2.0,2006
Krishnan Suresh,1.0,2007
Krishnan Suresh,0,2008
Krishnan Suresh,0,2009
Krishnan Suresh,0,2010
Krishnan Suresh,1.0,2011
Krishnan Suresh,0,2012
Shinji Nishiwaki,0,2002
Shinji Nishiwaki,2.0,2003
Shinji Nishiwaki,3.0,2004
Shinji Nishiwaki,2.0,2005
Shinji Nishiwaki,2.0,2006
Shinji Nishiwaki,3.0,2007
Shinji Nishiwaki,3.0,2008
Shinji Nishiwaki,2.0,2009
Shinji Nishiwaki,0,2010
Shinji Nishiwaki,0,2011
Shinji Nishiwaki,1.0,2012
Vladimir Gantovnik,0,2002
Vladimir Gantovnik,0,2003
Vladimir Gantovnik,0,2004
Vladimir Gantovnik,0,2005
Vladimir Gantovnik,2.0,2006
Vladimir Gantovnik,0,2007
Vladimir Gantovnik,0,2008
Vladimir Gantovnik,0,2009
Vladimir Gantovnik,0,2010
Vladimir Gantovnik,0,2011
Vladimir Gantovnik,0,2012
Michael J Scott,0,2002
Michael J Scott,2.0,2003
Michael J Scott,1.0,2004
Michael J Scott,0,2005
Michael J Scott,3.0,2006
Michael J Scott,0,2007
Michael J Scott,0,2008
Michael J Scott,0,2009
Michael J Scott,0,2010
Michael J Scott,0,2011
Michael J Scott,0,2012
Jian Wan,0,2002
Jian Wan,0,2003
Jian Wan,1.0,2004
Jian Wan,0,2005
Jian Wan,2.0,2006
Jian Wan,0,2007
Jian Wan,0,2008
Jian Wan,0,2009
Jian Wan,0,2010
Jian Wan,0,2011
Jian Wan,0,2012
Simon Li,0,2002
Simon Li,1.0,2003
Simon Li,1.0,2004
Simon Li,1.0,2005
Simon Li,2.0,2006
Simon Li,0,2007
Simon Li,1.0,2008
Simon Li,0,2009
Simon Li,0,2010
Simon Li,0,2011
Simon Li,0,2012
Georges Fadel,0,2002
Georges Fadel,0,2003
Georges Fadel,1.0,2004
Georges Fadel,0,2005
Georges Fadel,2.0,2006
Georges Fadel,1.0,2007
Georges Fadel,1.0,2008
Georges Fadel,1.0,2009
Georges Fadel,0,2010
Georges Fadel,1.0,2011
Georges Fadel,3.0,2012
Li Chen,0,2002
Li Chen,1.0,2003
Li Chen,1.0,2004
Li Chen,2.0,2005
Li Chen,2.0,2006
Li Chen,0,2007
Li Chen,1.0,2008
Li Chen,0,2009
Li Chen,0,2010
Li Chen,0,2011
Li Chen,0,2012
Jing Xiong,0,2002
Jing Xiong,0,2003
Jing Xiong,0,2004
Jing Xiong,0,2005
Jing Xiong,2.0,2006
Jing Xiong,0,2007
Jing Xiong,0,2008
Jing Xiong,0,2009
Jing Xiong,0,2010
Jing Xiong,0,2011
Jing Xiong,0,2012
Ken Chen,0,2002
Ken Chen,0,2003
Ken Chen,0,2004
Ken Chen,0,2005
Ken Chen,2.0,2006
Ken Chen,0,2007
Ken Chen,0,2008
Ken Chen,0,2009
Ken Chen,0,2010
Ken Chen,0,2011
Ken Chen,0,2012
Dongchao Yang,0,2002
Dongchao Yang,0,2003
Dongchao Yang,0,2004
Dongchao Yang,0,2005
Dongchao Yang,2.0,2006
Dongchao Yang,0,2007
Dongchao Yang,0,2008
Dongchao Yang,0,2009
