key,value,date
Yi Ren,0,2002
Yi Ren,0,2003
Yi Ren,0,2004
Yi Ren,0,2005
Yi Ren,0,2006
Yi Ren,0,2007
Yi Ren,0,2008
Yi Ren,0,2009
Yi Ren,1.0,2010
Yi Ren,1.0,2011
Yi Ren,2.0,2012
Yi Ren,2.0,2013
Yi Ren,2.0,2014
Conrad S. Tucker,0,2002
Conrad S. Tucker,0,2003
Conrad S. Tucker,0,2004
Conrad S. Tucker,0,2005
Conrad S. Tucker,0,2006
Conrad S. Tucker,1.0,2007
Conrad S. Tucker,0,2008
Conrad S. Tucker,1.0,2009
Conrad S. Tucker,1.0,2010
Conrad S. Tucker,0,2011
Conrad S. Tucker,2.0,2012
Conrad S. Tucker,1.0,2013
Conrad S. Tucker,0,2014
Hyeongjin Song,0,2002
Hyeongjin Song,0,2003
Hyeongjin Song,0,2004
Hyeongjin Song,0,2005
Hyeongjin Song,0,2006
Hyeongjin Song,0,2007
Hyeongjin Song,0,2008
Hyeongjin Song,0,2009
Hyeongjin Song,0,2010
Hyeongjin Song,1.0,2011
Hyeongjin Song,1.0,2012
Hyeongjin Song,0,2013
Hyeongjin Song,0,2014
Patrick K. Lewis,0,2002
Patrick K. Lewis,0,2003
Patrick K. Lewis,0,2004
Patrick K. Lewis,0,2005
Patrick K. Lewis,0,2006
Patrick K. Lewis,0,2007
Patrick K. Lewis,0,2008
Patrick K. Lewis,0,2009
Patrick K. Lewis,1.0,2010
Patrick K. Lewis,2.0,2011
Patrick K. Lewis,2.0,2012
Patrick K. Lewis,0,2013
Patrick K. Lewis,0,2014
Stephanie Minel,0,2002
Stephanie Minel,0,2003
Stephanie Minel,0,2004
Stephanie Minel,0,2005
Stephanie Minel,0,2006
Stephanie Minel,0,2007
Stephanie Minel,0,2008
Stephanie Minel,0,2009
Stephanie Minel,0,2010
Stephanie Minel,0,2011
Stephanie Minel,1.0,2012
Stephanie Minel,0,2013
Stephanie Minel,0,2014
Andres Tovar,0,2002
Andres Tovar,1.0,2003
Andres Tovar,0,2004
Andres Tovar,0,2005
Andres Tovar,0,2006
Andres Tovar,0,2007
Andres Tovar,0,2008
Andres Tovar,1.0,2009
Andres Tovar,1.0,2010
Andres Tovar,0,2011
Andres Tovar,3.0,2012
Andres Tovar,2.0,2013
Andres Tovar,0,2014
Timothy W. Simpson,1.0,2002
Timothy W. Simpson,6.0,2003
Timothy W. Simpson,4.0,2004
Timothy W. Simpson,7.0,2005
Timothy W. Simpson,9.0,2006
Timothy W. Simpson,5.0,2007
Timothy W. Simpson,8.0,2008
Timothy W. Simpson,4.0,2009
Timothy W. Simpson,2.0,2010
Timothy W. Simpson,3.0,2011
Timothy W. Simpson,2.0,2012
Timothy W. Simpson,4.0,2013
