key,value,date
Scott M. Ferguson,0,2002
Scott M. Ferguson,0,2003
Scott M. Ferguson,0,2004
Scott M. Ferguson,0,2005
Scott M. Ferguson,0,2006
Scott M. Ferguson,0,2007
Scott M. Ferguson,0,2008
Scott M. Ferguson,0,2009
Scott M. Ferguson,0,2010
Scott M. Ferguson,0,2011
Scott M. Ferguson,0,2012
Scott M. Ferguson,0,2013
Scott M. Ferguson,2.0,2014
Mark Christian E. Manuel,0,2002
Mark Christian E. Manuel,0,2003
Mark Christian E. Manuel,0,2004
Mark Christian E. Manuel,0,2005
Mark Christian E. Manuel,0,2006
Mark Christian E. Manuel,0,2007
Mark Christian E. Manuel,0,2008
Mark Christian E. Manuel,0,2009
Mark Christian E. Manuel,0,2010
Mark Christian E. Manuel,0,2011
Mark Christian E. Manuel,0,2012
Mark Christian E. Manuel,0,2013
Mark Christian E. Manuel,2.0,2014
Timothy W. Simpson,1.0,2002
Timothy W. Simpson,6.0,2003
Timothy W. Simpson,4.0,2004
Timothy W. Simpson,7.0,2005
Timothy W. Simpson,9.0,2006
Timothy W. Simpson,5.0,2007
Timothy W. Simpson,8.0,2008
Timothy W. Simpson,4.0,2009
Timothy W. Simpson,2.0,2010
Timothy W. Simpson,3.0,2011
Timothy W. Simpson,2.0,2012
Timothy W. Simpson,4.0,2013
Timothy W. Simpson,2.0,2014
Sharad Goyal,0,2002
Sharad Goyal,0,2003
Sharad Goyal,0,2004
Sharad Goyal,0,2005
Sharad Goyal,0,2006
Sharad Goyal,0,2007
Sharad Goyal,0,2008
Sharad Goyal,0,2009
Sharad Goyal,0,2010
Sharad Goyal,0,2011
Sharad Goyal,0,2012
Sharad Goyal,0,2013
Sharad Goyal,2.0,2014
Nathan G. Johnson,0,2002
Nathan G. Johnson,0,2003
Nathan G. Johnson,0,2004
Nathan G. Johnson,0,2005
Nathan G. Johnson,0,2006
Nathan G. Johnson,0,2007
Nathan G. Johnson,0,2008
Nathan G. Johnson,0,2009
Nathan G. Johnson,0,2010
Nathan G. Johnson,1.0,2011
Nathan G. Johnson,0,2012
Nathan G. Johnson,2.0,2013
Nathan G. Johnson,2.0,2014
Zhichao Wang,0,2002
Zhichao Wang,0,2003
Zhichao Wang,0,2004
Zhichao Wang,0,2005
Zhichao Wang,0,2006
Zhichao Wang,0,2007
Zhichao Wang,0,2008
Zhichao Wang,0,2009
Zhichao Wang,0,2010
Zhichao Wang,0,2011
Zhichao Wang,0,2012
Zhichao Wang,0,2013
Zhichao Wang,1.0,2014
Panos Y. Papalambros,2.0,2002
Panos Y. Papalambros,2.0,2003
Panos Y. Papalambros,2.0,2004
Panos Y. Papalambros,5.0,2005
Panos Y. Papalambros,4.0,2006
Panos Y. Papalambros,2.0,2007
Panos Y. Papalambros,1.0,2008
Panos Y. Papalambros,0,2009
Panos Y. Papalambros,4.0,2010
Panos Y. Papalambros,2.0,2011
Panos Y. Papalambros,2.0,2012
Panos Y. Papalambros,2.0,2013
Panos Y. Papalambros,3.0,2014
Jitesh H. Panchal,0,2002
Jitesh H. Panchal,0,2003
Jitesh H. Panchal,0,2004
Jitesh H. Panchal,2.0,2005
Jitesh H. Panchal,2.0,2006
Jitesh H. Panchal,2.0,2007
Jitesh H. Panchal,1.0,2008
Jitesh H. Panchal,1.0,2009
Jitesh H. Panchal,0,2010
Jitesh H. Panchal,1.0,2011
Jitesh H. Panchal,1.0,2012
Jitesh H. Panchal,1.0,2013
Jitesh H. Panchal,2.0,2014
Margaret M. Wiecek,0,2002
Margaret M. Wiecek,0,2003
Margaret M. Wiecek,0,2004
Margaret M. Wiecek,0,2005
Margaret M. Wiecek,0,2006
Margaret M. Wiecek,0,2007
Margaret M. Wiecek,0,2008
Margaret M. Wiecek,0,2009
Margaret M. Wiecek,1.0,2010
Margaret M. Wiecek,0,2011
Margaret M. Wiecek,0,2012
Margaret M. Wiecek,0,2013
Margaret M. Wiecek,2.0,2014
Yan Wang,0,2002
Yan Wang,0,2003
Yan Wang,0,2004
Yan Wang,0,2005
Yan Wang,1.0,2006
Yan Wang,0,2007
Yan Wang,3.0,2008
Yan Wang,1.0,2009
Yan Wang,1.0,2010
Yan Wang,2.0,2011
Yan Wang,1.0,2012
Yan Wang,2.0,2013
Yan Wang,2.0,2014
Amarendra K. Singh,0,2002
Amarendra K. Singh,0,2003
Amarendra K. Singh,0,2004
Amarendra K. Singh,0,2005
Amarendra K. Singh,0,2006
Amarendra K. Singh,0,2007
Amarendra K. Singh,0,2008
Amarendra K. Singh,0,2009
Amarendra K. Singh,0,2010
Amarendra K. Singh,0,2011
Amarendra K. Singh,0,2012
Amarendra K. Singh,0,2013
Amarendra K. Singh,2.0,2014
Souma Chowdhury,0,2002
Souma Chowdhury,0,2003
Souma Chowdhury,0,2004
Souma Chowdhury,0,2005
Souma Chowdhury,0,2006
Souma Chowdhury,0,2007
Souma Chowdhury,0,2008
Souma Chowdhury,0,2009
Souma Chowdhury,2.0,2010
Souma Chowdhury,2.0,2011
Souma Chowdhury,1.0,2012
Souma Chowdhury,3.0,2013
Souma Chowdhury,2.0,2014
Ashraf O. Nassef,2.0,2002
Ashraf O. Nassef,2.0,2003
Ashraf O. Nassef,0,2004
Ashraf O. Nassef,0,2005
Ashraf O. Nassef,0,2006
Ashraf O. Nassef,1.0,2007
Ashraf O. Nassef,2.0,2008
Ashraf O. Nassef,1.0,2009
Ashraf O. Nassef,3.0,2010
Ashraf O. Nassef,0,2011
Ashraf O. Nassef,2.0,2012
Ashraf O. Nassef,4.0,2013
Ashraf O. Nassef,3.0,2014
Karim Hamza,0,2002
Karim Hamza,2.0,2003
Karim Hamza,0,2004
Karim Hamza,1.0,2005
Karim Hamza,1.0,2006
Karim Hamza,0,2007
Karim Hamza,0,2008
Karim Hamza,2.0,2009
Karim Hamza,3.0,2010
Karim Hamza,4.0,2011
Karim Hamza,3.0,2012
Karim Hamza,5.0,2013
Karim Hamza,5.0,2014
G. Gary Wang,1.0,2002
G. Gary Wang,3.0,2003
G. Gary Wang,1.0,2004
G. Gary Wang,1.0,2005
G. Gary Wang,1.0,2006
G. Gary Wang,3.0,2007
G. Gary Wang,1.0,2008
G. Gary Wang,1.0,2009
G. Gary Wang,4.0,2010
G. Gary Wang,2.0,2011
G. Gary Wang,1.0,2012
G. Gary Wang,5.0,2013
G. Gary Wang,4.0,2014
Byeng D. Youn,1.0,2002
Byeng D. Youn,1.0,2003
Byeng D. Youn,1.0,2004
Byeng D. Youn,1.0,2005
Byeng D. Youn,0,2006
Byeng D. Youn,5.0,2007
Byeng D. Youn,2.0,2008
Byeng D. Youn,2.0,2009
Byeng D. Youn,1.0,2010
Byeng D. Youn,3.0,2011
Byeng D. Youn,2.0,2012
Byeng D. Youn,1.0,2013
Byeng D. Youn,2.0,2014
Rishabh Shukla,0,2002
Rishabh Shukla,0,2003
Rishabh Shukla,0,2004
Rishabh Shukla,0,2005
Rishabh Shukla,0,2006
Rishabh Shukla,0,2007
Rishabh Shukla,0,2008
Rishabh Shukla,0,2009
Rishabh Shukla,0,2010
Rishabh Shukla,0,2011
Rishabh Shukla,0,2012
Rishabh Shukla,0,2013
Rishabh Shukla,2.0,2014
Yi Ren,0,2002
Yi Ren,0,2003
Yi Ren,0,2004
Yi Ren,0,2005
Yi Ren,0,2006
Yi Ren,0,2007
Yi Ren,0,2008
Yi Ren,0,2009
Yi Ren,1.0,2010
Yi Ren,1.0,2011
Yi Ren,2.0,2012
Yi Ren,2.0,2013
Yi Ren,2.0,2014
Amos G. Winter,0,2002
Amos G. Winter,0,2003
Amos G. Winter,0,2004
Amos G. Winter,0,2005
Amos G. Winter,0,2006
Amos G. Winter,0,2007
Amos G. Winter,0,2008
Amos G. Winter,0,2009
Amos G. Winter,0,2010
Amos G. Winter,0,2011
Amos G. Winter,0,2012
Amos G. Winter,0,2013
Amos G. Winter,0,2014
B. P. Gautham,0,2002
B. P. Gautham,0,2003
B. P. Gautham,0,2004
B. P. Gautham,0,2005
B. P. Gautham,0,2006
B. P. Gautham,0,2007
B. P. Gautham,0,2008
B. P. Gautham,0,2009
B. P. Gautham,0,2010
B. P. Gautham,0,2011
B. P. Gautham,0,2012
B. P. Gautham,1.0,2013
B. P. Gautham,2.0,2014
Georges Fadel,0,2002
Georges Fadel,0,2003
Georges Fadel,1.0,2004
Georges Fadel,0,2005
Georges Fadel,2.0,2006
Georges Fadel,1.0,2007
Georges Fadel,1.0,2008
Georges Fadel,1.0,2009
Georges Fadel,0,2010
Georges Fadel,1.0,2011
Georges Fadel,3.0,2012
Georges Fadel,0,2013
Georges Fadel,3.0,2014
Jing Wang,0,2002
Jing Wang,0,2003
Jing Wang,0,2004
Jing Wang,0,2005
Jing Wang,0,2006
Jing Wang,0,2007
Jing Wang,0,2008
Jing Wang,0,2009
Jing Wang,0,2010
Jing Wang,0,2011
Jing Wang,0,2012
Jing Wang,0,2013
Jing Wang,2.0,2014
Igor Baseski,0,2002
Igor Baseski,0,2003
Igor Baseski,0,2004
Igor Baseski,0,2005
Igor Baseski,0,2006
Igor Baseski,0,2007
Igor Baseski,0,2008
Igor Baseski,0,2009
Igor Baseski,0,2010
Igor Baseski,0,2011
Igor Baseski,0,2012
Igor Baseski,1.0,2013
Igor Baseski,2.0,2014
Wei Chen,3.0,2002
Wei Chen,3.0,2003
Wei Chen,3.0,2004
Wei Chen,2.0,2005
Wei Chen,3.0,2006
Wei Chen,4.0,2007
Wei Chen,3.0,2008
Wei Chen,8.0,2009
Wei Chen,3.0,2010
Wei Chen,4.0,2011
Wei Chen,3.0,2012
Wei Chen,3.0,2013
Wei Chen,2.0,2014
Kristina Shea,0,2002
Kristina Shea,0,2003
Kristina Shea,0,2004
Kristina Shea,1.0,2005
Kristina Shea,1.0,2006
Kristina Shea,0,2007
Kristina Shea,2.0,2008
Kristina Shea,2.0,2009
Kristina Shea,0,2010
Kristina Shea,1.0,2011
Kristina Shea,1.0,2012
Kristina Shea,1.0,2013
Kristina Shea,1.0,2014
Kemper Lewis,2.0,2002
Kemper Lewis,2.0,2003
Kemper Lewis,2.0,2004
Kemper Lewis,4.0,2005
Kemper Lewis,1.0,2006
Kemper Lewis,2.0,2007
Kemper Lewis,1.0,2008
Kemper Lewis,1.0,2009
Kemper Lewis,2.0,2010
Kemper Lewis,3.0,2011
Kemper Lewis,2.0,2012
Kemper Lewis,2.0,2013
Kemper Lewis,2.0,2014
Meng Xu,0,2002
Meng Xu,0,2003
Meng Xu,0,2004
Meng Xu,0,2005
Meng Xu,0,2006
Meng Xu,0,2007
Meng Xu,0,2008
Meng Xu,0,2009
Meng Xu,0,2010
Meng Xu,0,2011
Meng Xu,0,2012
Meng Xu,0,2013
Meng Xu,2.0,2014
James T. Allison,0,2002
James T. Allison,0,2003
James T. Allison,0,2004
James T. Allison,0,2005
James T. Allison,0,2006
James T. Allison,1.0,2007
James T. Allison,1.0,2008
James T. Allison,0,2009
James T. Allison,3.0,2010
James T. Allison,1.0,2011
James T. Allison,1.0,2012
James T. Allison,3.0,2013
James T. Allison,2.0,2014
Christopher A. Mattson,1.0,2002
Christopher A. Mattson,0,2003
Christopher A. Mattson,0,2004
Christopher A. Mattson,0,2005
Christopher A. Mattson,0,2006
Christopher A. Mattson,0,2007
Christopher A. Mattson,0,2008
Christopher A. Mattson,0,2009
Christopher A. Mattson,1.0,2010
Christopher A. Mattson,3.0,2011
Christopher A. Mattson,3.0,2012
Christopher A. Mattson,1.0,2013
Christopher A. Mattson,2.0,2014
Zissimos P. Mourelatos,0,2002
Zissimos P. Mourelatos,3.0,2003
Zissimos P. Mourelatos,3.0,2004
Zissimos P. Mourelatos,2.0,2005
Zissimos P. Mourelatos,2.0,2006
Zissimos P. Mourelatos,2.0,2007
Zissimos P. Mourelatos,2.0,2008
Zissimos P. Mourelatos,2.0,2009
Zissimos P. Mourelatos,4.0,2010
Zissimos P. Mourelatos,3.0,2011
Zissimos P. Mourelatos,3.0,2012
Zissimos P. Mourelatos,4.0,2013
Zissimos P. Mourelatos,5.0,2014
Seung Ki Moon,0,2002
Seung Ki Moon,0,2003
Seung Ki Moon,0,2004
Seung Ki Moon,0,2005
Seung Ki Moon,1.0,2006
Seung Ki Moon,2.0,2007
Seung Ki Moon,1.0,2008
Seung Ki Moon,2.0,2009
Seung Ki Moon,1.0,2010
Seung Ki Moon,1.0,2011
Seung Ki Moon,1.0,2012
Seung Ki Moon,1.0,2013
Seung Ki Moon,2.0,2014
Zequn Wang,0,2002
Zequn Wang,0,2003
Zequn Wang,0,2004
Zequn Wang,0,2005
Zequn Wang,0,2006
Zequn Wang,0,2007
Zequn Wang,0,2008
Zequn Wang,0,2009
Zequn Wang,0,2010
Zequn Wang,0,2011
Zequn Wang,1.0,2012
Zequn Wang,2.0,2013
Zequn Wang,4.0,2014
Po Ting Lin,0,2002
Po Ting Lin,0,2003
Po Ting Lin,0,2004
Po Ting Lin,0,2005
Po Ting Lin,0,2006
Po Ting Lin,0,2007
Po Ting Lin,1.0,2008
Po Ting Lin,1.0,2009
Po Ting Lin,1.0,2010
Po Ting Lin,1.0,2011
Po Ting Lin,1.0,2012
Po Ting Lin,0,2013
Po Ting Lin,2.0,2014
Vijitashwa Pandey,0,2002
Vijitashwa Pandey,0,2003
Vijitashwa Pandey,0,2004
Vijitashwa Pandey,0,2005
Vijitashwa Pandey,0,2006
Vijitashwa Pandey,0,2007
Vijitashwa Pandey,0,2008
Vijitashwa Pandey,0,2009
Vijitashwa Pandey,0,2010
Vijitashwa Pandey,2.0,2011
Vijitashwa Pandey,3.0,2012
Vijitashwa Pandey,3.0,2013
Vijitashwa Pandey,4.0,2014
Mohamed Aly,0,2002
Mohamed Aly,0,2003
Mohamed Aly,0,2004
Mohamed Aly,0,2005
Mohamed Aly,0,2006
Mohamed Aly,0,2007
Mohamed Aly,0,2008
Mohamed Aly,0,2009
Mohamed Aly,0,2010
Mohamed Aly,0,2011
Mohamed Aly,0,2012
Mohamed Aly,2.0,2013
Mohamed Aly,2.0,2014
Kambiz Haji Hajikolaei,0,2002
Kambiz Haji Hajikolaei,0,2003
Kambiz Haji Hajikolaei,0,2004
Kambiz Haji Hajikolaei,0,2005
Kambiz Haji Hajikolaei,0,2006
Kambiz Haji Hajikolaei,0,2007
Kambiz Haji Hajikolaei,0,2008
Kambiz Haji Hajikolaei,0,2009
Kambiz Haji Hajikolaei,0,2010
Kambiz Haji Hajikolaei,0,2011
