key,value,date
Frank W Liou,0,2002
Frank W Liou,0,2003
Frank W Liou,1.0,2004
Frank W Liou,0,2005
Frank W Liou,1.0,2006
Frank W Liou,1.0,2007
Frank W Liou,1.0,2008
Frank W Liou,2.0,2009
Frank W Liou,2.0,2010
Frank W Liou,1.0,2011
Frank W Liou,1.0,2012
G Gary Wang,1.0,2002
G Gary Wang,3.0,2003
G Gary Wang,1.0,2004
G Gary Wang,1.0,2005
G Gary Wang,1.0,2006
G Gary Wang,3.0,2007
G Gary Wang,1.0,2008
G Gary Wang,1.0,2009
G Gary Wang,4.0,2010
G Gary Wang,2.0,2011
G Gary Wang,1.0,2012
Beshoy Morkos,0,2002
Beshoy Morkos,0,2003
Beshoy Morkos,0,2004
Beshoy Morkos,0,2005
Beshoy Morkos,0,2006
Beshoy Morkos,0,2007
Beshoy Morkos,0,2008
Beshoy Morkos,0,2009
Beshoy Morkos,2.0,2010
Beshoy Morkos,0,2011
Beshoy Morkos,1.0,2012
SeungKyum Choi,0,2002
SeungKyum Choi,0,2003
SeungKyum Choi,0,2004
SeungKyum Choi,0,2005
SeungKyum Choi,0,2006
SeungKyum Choi,0,2007
SeungKyum Choi,0,2008
SeungKyum Choi,2.0,2009
SeungKyum Choi,2.0,2010
SeungKyum Choi,0,2011
SeungKyum Choi,1.0,2012
Harrison M Kim,0,2002
Harrison M Kim,0,2003
Harrison M Kim,0,2004
Harrison M Kim,1.0,2005
Harrison M Kim,1.0,2006
Harrison M Kim,2.0,2007
Harrison M Kim,0,2008
Harrison M Kim,2.0,2009
Harrison M Kim,2.0,2010
Harrison M Kim,1.0,2011
Harrison M Kim,1.0,2012
Jie Zhang,0,2002
Jie Zhang,0,2003
Jie Zhang,0,2004
Jie Zhang,0,2005
Jie Zhang,0,2006
Jie Zhang,0,2007
Jie Zhang,0,2008
Jie Zhang,0,2009
Jie Zhang,2.0,2010
Jie Zhang,2.0,2011
Jie Zhang,0,2012
James Allison,0,2002
James Allison,0,2003
James Allison,0,2004
James Allison,1.0,2005
James Allison,0,2006
James Allison,1.0,2007
James Allison,1.0,2008
James Allison,0,2009
James Allison,3.0,2010
James Allison,1.0,2011
James Allison,0,2012
Farrokh Mistree,3.0,2002
Farrokh Mistree,1.0,2003
Farrokh Mistree,2.0,2004
Farrokh Mistree,5.0,2005
Farrokh Mistree,4.0,2006
Farrokh Mistree,3.0,2007
Farrokh Mistree,1.0,2008
Farrokh Mistree,3.0,2009
Farrokh Mistree,2.0,2010
Farrokh Mistree,1.0,2011
Farrokh Mistree,0,2012
David J Gorsich,0,2002
David J Gorsich,0,2003
David J Gorsich,0,2004
David J Gorsich,0,2005
David J Gorsich,0,2006
David J Gorsich,0,2007
David J Gorsich,0,2008
David J Gorsich,0,2009
David J Gorsich,2.0,2010
David J Gorsich,0,2011
David J Gorsich,0,2012
S Azarm,2.0,2002
S Azarm,2.0,2003
S Azarm,3.0,2004
S Azarm,0,2005
S Azarm,1.0,2006
S Azarm,0,2007
S Azarm,1.0,2008
S Azarm,3.0,2009
S Azarm,2.0,2010
S Azarm,2.0,2011
S Azarm,1.0,2012
KueiYuan Chan,0,2002
KueiYuan Chan,0,2003
KueiYuan Chan,0,2004
KueiYuan Chan,1.0,2005
KueiYuan Chan,1.0,2006
KueiYuan Chan,0,2007
KueiYuan Chan,1.0,2008
KueiYuan Chan,1.0,2009
KueiYuan Chan,2.0,2010
KueiYuan Chan,0,2011
KueiYuan Chan,1.0,2012
Josef Oehmen,0,2002
Josef Oehmen,0,2003
Josef Oehmen,0,2004
Josef Oehmen,0,2005
Josef Oehmen,0,2006
Josef Oehmen,0,2007
Josef Oehmen,0,2008
Josef Oehmen,0,2009
Josef Oehmen,1.0,2010
Josef Oehmen,0,2011
Josef Oehmen,0,2012
Jose Lebron,0,2002
Jose Lebron,0,2003
Jose Lebron,0,2004
Jose Lebron,0,2005
Jose Lebron,0,2006
Jose Lebron,0,2007
Jose Lebron,0,2008
Jose Lebron,0,2009
Jose Lebron,2.0,2010
Jose Lebron,0,2011
Jose Lebron,0,2012
Mohammd AlemiArdakani,0,2002
Mohammd AlemiArdakani,0,2003
Mohammd AlemiArdakani,0,2004
Mohammd AlemiArdakani,0,2005
Mohammd AlemiArdakani,0,2006
Mohammd AlemiArdakani,0,2007
Mohammd AlemiArdakani,0,2008
Mohammd AlemiArdakani,0,2009
Mohammd AlemiArdakani,1.0,2010
Mohammd AlemiArdakani,0,2011
Mohammd AlemiArdakani,0,2012
Karim Hamza,0,2002
Karim Hamza,2.0,2003
Karim Hamza,0,2004
Karim Hamza,1.0,2005
Karim Hamza,1.0,2006
Karim Hamza,0,2007
Karim Hamza,0,2008
Karim Hamza,2.0,2009
Karim Hamza,3.0,2010
Karim Hamza,4.0,2011
Karim Hamza,3.0,2012
Damiano Pasini,0,2002
Damiano Pasini,0,2003
Damiano Pasini,0,2004
Damiano Pasini,0,2005
Damiano Pasini,0,2006
Damiano Pasini,0,2007
Damiano Pasini,0,2008
Damiano Pasini,0,2009
Damiano Pasini,3.0,2010
Damiano Pasini,3.0,2011
Damiano Pasini,0,2012
Ikjin Lee,0,2002
Ikjin Lee,0,2003
Ikjin Lee,0,2004
Ikjin Lee,0,2005
Ikjin Lee,1.0,2006
Ikjin Lee,2.0,2007
Ikjin Lee,1.0,2008
Ikjin Lee,3.0,2009
Ikjin Lee,2.0,2010
Ikjin Lee,2.0,2011
Ikjin Lee,1.0,2012
David Gorsich,0,2002
David Gorsich,0,2003
David Gorsich,0,2004
David Gorsich,0,2005
David Gorsich,0,2006
David Gorsich,1.0,2007
David Gorsich,1.0,2008
David Gorsich,1.0,2009
David Gorsich,2.0,2010
David Gorsich,1.0,2011
David Gorsich,0,2012
Jonathan Cagan,1.0,2002
Jonathan Cagan,0,2003
Jonathan Cagan,1.0,2004
Jonathan Cagan,0,2005
Jonathan Cagan,0,2006
Jonathan Cagan,1.0,2007
Jonathan Cagan,2.0,2008
Jonathan Cagan,1.0,2009
Jonathan Cagan,2.0,2010
Jonathan Cagan,2.0,2011
Jonathan Cagan,1.0,2012
Matthew Watkins,0,2002
Matthew Watkins,0,2003
Matthew Watkins,0,2004
Matthew Watkins,0,2005
Matthew Watkins,0,2006
Matthew Watkins,0,2007
Matthew Watkins,0,2008
Matthew Watkins,0,2009
Matthew Watkins,1.0,2010
Matthew Watkins,0,2011
Matthew Watkins,0,2012
Ashraf Nassef,1.0,2002
Ashraf Nassef,3.0,2003
Ashraf Nassef,0,2004
Ashraf Nassef,0,2005
Ashraf Nassef,0,2006
Ashraf Nassef,1.0,2007
Ashraf Nassef,2.0,2008
Ashraf Nassef,1.0,2009
Ashraf Nassef,4.0,2010
Ashraf Nassef,0,2011
Ashraf Nassef,2.0,2012
Jaehyung Ju,0,2002
Jaehyung Ju,0,2003
Jaehyung Ju,0,2004
Jaehyung Ju,0,2005
Jaehyung Ju,0,2006
Jaehyung Ju,0,2007
Jaehyung Ju,0,2008
Jaehyung Ju,0,2009
