key,value,date
Frank W Liou,0,2002
Frank W Liou,0,2003
Frank W Liou,1.0,2004
Frank W Liou,0,2005
Frank W Liou,1.0,2006
Frank W Liou,1.0,2007
Frank W Liou,1.0,2008
Frank W Liou,2.0,2009
Frank W Liou,2.0,2010
Frank W Liou,1.0,2011
Frank W Liou,1.0,2012
SeungKyum Choi,0,2002
SeungKyum Choi,0,2003
SeungKyum Choi,0,2004
SeungKyum Choi,0,2005
SeungKyum Choi,0,2006
SeungKyum Choi,0,2007
SeungKyum Choi,0,2008
SeungKyum Choi,2.0,2009
SeungKyum Choi,2.0,2010
SeungKyum Choi,0,2011
SeungKyum Choi,1.0,2012
Fenfen Xiong,0,2002
Fenfen Xiong,0,2003
Fenfen Xiong,0,2004
Fenfen Xiong,0,2005
Fenfen Xiong,0,2006
Fenfen Xiong,0,2007
Fenfen Xiong,0,2008
Fenfen Xiong,1.0,2009
Fenfen Xiong,0,2010
Fenfen Xiong,0,2011
Fenfen Xiong,0,2012
Harrison M Kim,0,2002
Harrison M Kim,0,2003
Harrison M Kim,0,2004
Harrison M Kim,1.0,2005
Harrison M Kim,1.0,2006
Harrison M Kim,2.0,2007
Harrison M Kim,0,2008
Harrison M Kim,2.0,2009
Harrison M Kim,2.0,2010
Harrison M Kim,1.0,2011
Harrison M Kim,1.0,2012
Farrokh Mistree,3.0,2002
Farrokh Mistree,1.0,2003
Farrokh Mistree,2.0,2004
Farrokh Mistree,5.0,2005
Farrokh Mistree,4.0,2006
Farrokh Mistree,3.0,2007
Farrokh Mistree,1.0,2008
Farrokh Mistree,3.0,2009
Farrokh Mistree,2.0,2010
Farrokh Mistree,1.0,2011
Farrokh Mistree,0,2012
Singiresu S Rao,0,2002
Singiresu S Rao,0,2003
Singiresu S Rao,1.0,2004
Singiresu S Rao,0,2005
Singiresu S Rao,0,2006
Singiresu S Rao,0,2007
Singiresu S Rao,0,2008
Singiresu S Rao,1.0,2009
Singiresu S Rao,0,2010
Singiresu S Rao,0,2011
Singiresu S Rao,0,2012
Carolyn C Seepersad,0,2002
Carolyn C Seepersad,0,2003
Carolyn C Seepersad,0,2004
Carolyn C Seepersad,0,2005
Carolyn C Seepersad,1.0,2006
Carolyn C Seepersad,0,2007
Carolyn C Seepersad,1.0,2008
Carolyn C Seepersad,3.0,2009
Carolyn C Seepersad,1.0,2010
Carolyn C Seepersad,1.0,2011
Carolyn C Seepersad,2.0,2012
S Azarm,2.0,2002
S Azarm,2.0,2003
S Azarm,3.0,2004
S Azarm,0,2005
S Azarm,1.0,2006
S Azarm,0,2007
S Azarm,1.0,2008
S Azarm,3.0,2009
S Azarm,2.0,2010
S Azarm,2.0,2011
S Azarm,1.0,2012
Xiaolei Yin,0,2002
Xiaolei Yin,0,2003
Xiaolei Yin,0,2004
Xiaolei Yin,1.0,2005
Xiaolei Yin,0,2006
Xiaolei Yin,0,2007
Xiaolei Yin,1.0,2008
Xiaolei Yin,2.0,2009
Xiaolei Yin,0,2010
Xiaolei Yin,0,2011
Xiaolei Yin,0,2012
Jami J Shah,1.0,2002
Jami J Shah,0,2003
Jami J Shah,1.0,2004
Jami J Shah,4.0,2005
Jami J Shah,1.0,2006
Jami J Shah,1.0,2007
Jami J Shah,0,2008
Jami J Shah,2.0,2009
Jami J Shah,0,2010
Jami J Shah,1.0,2011
Jami J Shah,1.0,2012
Xiaolong Luke Zhang,0,2002
Xiaolong Luke Zhang,0,2003
Xiaolong Luke Zhang,0,2004
Xiaolong Luke Zhang,0,2005
Xiaolong Luke Zhang,0,2006
Xiaolong Luke Zhang,0,2007
Xiaolong Luke Zhang,0,2008
Xiaolong Luke Zhang,2.0,2009
Xiaolong Luke Zhang,0,2010
Xiaolong Luke Zhang,1.0,2011
Xiaolong Luke Zhang,0,2012
Sanghon Lee,0,2002
Sanghon Lee,0,2003
Sanghon Lee,0,2004
Sanghon Lee,0,2005
Sanghon Lee,0,2006
Sanghon Lee,0,2007
Sanghon Lee,1.0,2008
Sanghon Lee,2.0,2009
Sanghon Lee,0,2010
Sanghon Lee,0,2011
Sanghon Lee,0,2012
Zissimos P Mourelatos,0,2002
Zissimos P Mourelatos,3.0,2003
Zissimos P Mourelatos,3.0,2004
Zissimos P Mourelatos,2.0,2005
Zissimos P Mourelatos,2.0,2006
Zissimos P Mourelatos,2.0,2007
Zissimos P Mourelatos,2.0,2008
Zissimos P Mourelatos,2.0,2009
Zissimos P Mourelatos,4.0,2010
Zissimos P Mourelatos,3.0,2011
Zissimos P Mourelatos,3.0,2012
DongHoon Choi,0,2002
DongHoon Choi,0,2003
DongHoon Choi,0,2004
DongHoon Choi,0,2005
DongHoon Choi,0,2006
DongHoon Choi,0,2007
DongHoon Choi,0,2008
DongHoon Choi,2.0,2009
DongHoon Choi,0,2010
DongHoon Choi,0,2011
DongHoon Choi,0,2012
Ikjin Lee,0,2002
Ikjin Lee,0,2003
Ikjin Lee,0,2004
Ikjin Lee,0,2005
Ikjin Lee,1.0,2006
Ikjin Lee,2.0,2007
Ikjin Lee,1.0,2008
Ikjin Lee,3.0,2009
Ikjin Lee,2.0,2010
Ikjin Lee,2.0,2011
Ikjin Lee,1.0,2012
Michele Germani,0,2002
Michele Germani,0,2003
Michele Germani,0,2004
Michele Germani,0,2005
Michele Germani,0,2006
Michele Germani,0,2007
Michele Germani,0,2008
Michele Germani,2.0,2009
Michele Germani,1.0,2010
Michele Germani,1.0,2011
Michele Germani,0,2012
Shinji Nishiwaki,0,2002
Shinji Nishiwaki,2.0,2003
Shinji Nishiwaki,3.0,2004
Shinji Nishiwaki,2.0,2005
Shinji Nishiwaki,2.0,2006
Shinji Nishiwaki,3.0,2007
Shinji Nishiwaki,3.0,2008
Shinji Nishiwaki,2.0,2009
Shinji Nishiwaki,0,2010
Shinji Nishiwaki,0,2011
Shinji Nishiwaki,1.0,2012
Kazuhiro Izui,2.0,2002
Kazuhiro Izui,2.0,2003
Kazuhiro Izui,3.0,2004
Kazuhiro Izui,3.0,2005
Kazuhiro Izui,2.0,2006
Kazuhiro Izui,3.0,2007
Kazuhiro Izui,3.0,2008
Kazuhiro Izui,2.0,2009
Kazuhiro Izui,0,2010
Kazuhiro Izui,0,2011
Kazuhiro Izui,0,2012
Gabseong Lee,0,2002
Gabseong Lee,0,2003
Gabseong Lee,0,2004
Gabseong Lee,0,2005
Gabseong Lee,0,2006
Gabseong Lee,0,2007
Gabseong Lee,0,2008
Gabseong Lee,1.0,2009
Gabseong Lee,0,2010
Gabseong Lee,0,2011
Gabseong Lee,0,2012
Soundar R T Kumara,0,2002
Soundar R T Kumara,0,2003
Soundar R T Kumara,1.0,2004
Soundar R T Kumara,0,2005
Soundar R T Kumara,1.0,2006
Soundar R T Kumara,1.0,2007
Soundar R T Kumara,1.0,2008
Soundar R T Kumara,2.0,2009
Soundar R T Kumara,0,2010
Soundar R T Kumara,0,2011
Soundar R T Kumara,0,2012
Ashraf Nassef,1.0,2002
Ashraf Nassef,3.0,2003
