AuthorID,AuthorName,PaperID
179,"Carolyn C. Seepersad",62
180,"Michael Haberman",62
181,"David Shahan",62
182,"Hongyi Xu",63
183,"Ruoqian Liu",63
184,"Alok Choudhary",63
185,"Wei Chen",63
186,"Edgar Galvan",64
187,"Richard J. Malak, Jr.",64
188,"Sean Gibbons",64
189,"Raymundo Arroyave",64
190,"Mingming Wang",65
191,"Xiaoping Qian",65
192,"Wei Song",66
193,"Hae Chang Gea",66
194,"Bin Zheng",66
195,"James K. Guest",67
196,"Greg Burton",68
197,"Erhan Batuhan Arisoy",69
198,"Levent Burak Kara",69
199,"Anthony Garland",70
200,"Greg Mocko",70
201,"Georges Fadel",70
202,"Ting Zou",71
203,"Mathew Shaker",71
204,"Jorge Angeles",71
205,"Alexei Morozov",71
206,"Payam Haghighi",72
207,"Prashant Mohan",72
208,"Jami J. Shah",72
209,"Joseph K. Davidson",72
210,"Hyunwoong Ko",73
211,"Sangwon Lee",73
212,"Dongmin Shin",73
51,"Seung Ki Moon",73
213,"Charlotte de Vries",74
214,"Matthew B. Parkinson",74
215,"D. Reuben Haupt",75
214,"Matthew B. Parkinson",75
216,"Teng Long",76
217,"Lv Wang",76
218,"Di Wu",76
219,"Xiaosong Guo",76
220,"Li Liu",76
221,"Bastien Talgorn",77
222,"Sébastien Le Digabel",77
223,"Michael Kokkolaras",77
224,"Kaveh Amouzgar",78
225,"Niclas Strömberg",78
226,"Kambiz Haji Hajikolaei",79
227,"G. Gary Wang",79
53,"Souma Chowdhury",80
228,"Ali Mehmani",80
54,"Achille Messac",80
175,"Yan Wang",81
117,"Po Ting Lin",82
229,"Yu-Cheng Chou",82
88,"Mark Christian E. Manuel",82
230,"Kuan Sung Hsu",82
231,"Zhen Jiang",83
232,"Wei Li",83
233,"Daniel W. Apley",83
185,"Wei Chen",83
234,"Gautam Marwaha",84
223,"Michael Kokkolaras",84
235,"Ning Quan",85
236,"Harrison Kim",85
237,"Meng Xu",86
201,"Georges Fadel",86
238,"Margaret M. Wiecek",86
237,"Meng Xu",87
201,"Georges Fadel",87
238,"Margaret M. Wiecek",87
239,"J. M. Hamel",88
240,"George H. Cheng",89
241,"Chao Qi",89
227,"G. Gary Wang",89
242,"Mohammed Reza Kianifar",90
243,"Felician Campean",90
244,"Jeffrey D. Allen",91
245,"Jason D. Watson",91
131,"Christopher A. Mattson",91
45,"Scott M. Ferguson",91
246,"Sangjin Jung",92
145,"Timothy W. Simpson",92
247,"Oyku Asikoglu",92
248,"Jeffrey D. Arena",93
25,"James T. Allison",93
249,"Zhila Pirmoradi",94
226,"Kambiz Haji Hajikolaei",94
227,"G. Gary Wang",94
108,"Vijitashwa Pandey",95
107,"Zissimos P. Mourelatos",95
250,"Matthew P. Castanier",95
251,"Jing Wang",96
252,"Mian Li",96
251,"Jing Wang",97
252,"Mian Li",97
253,"Zhen Hu",98
254,"Xiaoping Du",98
108,"Vijitashwa Pandey",99
255,"Annette Skowronska",99
107,"Zissimos P. Mourelatos",99
256,"David Gorsich",99
257,"Matthew Castanier",99
258,"Zhonglai Wang",100
259,"Xiaoqiang Zhang",100
260,"Hong-Zhong Huang",100
107,"Zissimos P. Mourelatos",100
261,"Recep M. Gorguluarslan",101
30,"Seung-Kyum Choi",101
110,"Zequn Wang",102
109,"Pingfeng Wang",102
110,"Zequn Wang",103
109,"Pingfeng Wang",103
262,"Jongmin Lim",104
263,"Byungchai Lee",104
264,"Ikjin Lee",104
265,"Hyunkyoo Cho",105
266,"K. K. Choi",105
267,"David Lamb",105
107,"Zissimos P. Mourelatos",106
268,"Monica Majcher",106
108,"Vijitashwa Pandey",106
106,"Igor Baseski",106
269,"Xike Zhao",107
192,"Wei Song",107
193,"Hae Chang Gea",107
270,"Limei Xu",107
271,"Matthew G. McIntire",108
272,"Veronika Vasylkivska",108
273,"Christopher Hoyle",108
274,"Nathan Gibson",108
275,"Zhe Zhang",109
276,"Chao Jiang",109
227,"G. Gary Wang",109
277,"Xu Han",109
8,"Karim Hamza",110
7,"Mohamed Aly",110
9,"Hesham Hegazi",110
278,"Zhansi Jiang",111
240,"George H. Cheng",111
227,"G. Gary Wang",111
11,"Mouhab Meshreki",112
8,"Karim Hamza",112
12,"Ashraf O. Nassef",112
14,"Helmi Attia",112
279,"Jagadeep Thota",113
280,"Mohamed Trabia",113
281,"Brendan O’Toole",113
282,"Chang-Hyun Lee",113
283,"Hong-Lae Park",113
284,"Man-Hoi Koo",113
285,"Kyoung-Hoon Lee",113
286,"Ho-bum Kim",113
269,"Xike Zhao",114
193,"Hae Chang Gea",114
192,"Wei Song",114
287,"Thomas Gmeiner",115
27,"Kristina Shea",115
288,"Joshua M. Williams",116
289,"Mitch W. Pryor",116
290,"Andreas Wünsch",117
291,"Der-Min Tsay",117
292,"Sándor Vajna",117
293,"Michael Schabacker",117
294,"Amir Hooshmand",118
295,"Matthew I. Campbell",118
296,"Guang Dong",119
297,"John Cooper",119
108,"Vijitashwa Pandey",120
107,"Zissimos P. Mourelatos",120
46,"Brian Sylcott",121
298,"Jeremy J. Michalek",121
48,"Jonathan Cagan",121
299,"Baris Canbaz",122
300,"Bernard Yannou",122
301,"Pierre-Alain Yvars",122
144,"Simon W. Miller",123
145,"Timothy W. Simpson",123
146,"Michael A. Yukish",123
302,"Lorri A. Bennett",123
303,"Sara E. Lego",123
304,"Gary M. Stump",123
305,"Lourdes A. Medina",124
306,"Marija Jankovic",124
307,"Gül E. Okudan Kremer",124
308,"Weijun Wang",125
309,"Stéphane Caro",125
310,"Fouad Bennis",125
311,"Bryony L. DuPont",126
48,"Jonathan Cagan",126
312,"Daniel R. Herber",127
25,"James T. Allison",127
115,"Nita Yodo",128
109,"Pingfeng Wang",128
62,"Jihun Kim",129
8,"Karim Hamza",129
59,"Mohamed El Morsi",129
12,"Ashraf O. Nassef",129
64,"Sayed Metwalli",129
61,"Kazuhiro Saitou",129
65,"Jie Zhang",130
53,"Souma Chowdhury",130
54,"Achille Messac",130
67,"Bri-Mathias Hodge",130
313,"Amirhossein Khosrojerdi",131
314,"Minting Xiao",131
315,"Piampoom Sarikprueck",131
159,"Janet K. Allen",131
160,"Farrokh Mistree",131
58,"Khalid M. Abd El-Aziz",132
8,"Karim Hamza",132
59,"Mohamed El Morsi",132
12,"Ashraf O. Nassef",132
60,"Sayed M. Metwalli",132
61,"Kazuhiro Saitou",132
52,"Weiyang Tong",133
53,"Souma Chowdhury",133
228,"Ali Mehmani",133
65,"Jie Zhang",133
54,"Achille Messac",133
316,"Le Chen",134
317,"Erin MacDonald",134
318,"Michael K. Coughlin",135
319,"Michael J. Scott",135
320,"Mingxian Wang",136
185,"Wei Chen",136
321,"Bart D. Frischknecht",137
28,"Axel Nordin",138
322,"Damien Motte",138
323,"Robert Bjärnemo",138
324,"Shabnam Rezapour",139
159,"Janet K. Allen",139
325,"Theodore B. Trafalis",139
160,"Farrokh Mistree",139
29,"Thomas Stone",140
30,"Seung-Kyum Choi",140
103,"Garrett Foster",141
104,"Scott Ferguson",141
326,"C. Grace Heckmann",142
298,"Jeremy J. Michalek",142
87,"W. Ross Morrow",142
327,"Yimin Liu",142
328,"Kilmo Kang",143
329,"Changmook Kang",143
330,"Yoo S. Hong",143
73,"Bo Yang Yu",144
74,"Tomonori Honda",144
75,"Syed Zubair",144
76,"Mostafa H. Sharqawy",144
77,"Maria C. Yang",144
109,"Pingfeng Wang",145
111,"Byeng D. Youn",145
331,"Chao Hu",145
332,"Prasanna Tamilselvan",146
109,"Pingfeng Wang",146
331,"Chao Hu",146
333,"Tamotsu Murakami",147
334,"Toshiyuki Ishii",147
124,"Zhimin Xi",148
335,"Rong Jing",148
109,"Pingfeng Wang",148
331,"Chao Hu",148
128,"Nordica MacCarty",149
336,"Kenneth M. Bryden",149
131,"Christopher A. Mattson",150
130,"Amy E. Wood",150
132,"Nathan G. Johnson",151
336,"Kenneth M. Bryden",151
132,"Nathan G. Johnson",152
337,"John W. Glassmire",152
338,"Peter D. Lilienthal",152
339,"Kaushik Sinha",153
340,"Olivier L. de Weck",153
341,"Paul F. Egan",154
48,"Jonathan Cagan",154
342,"Christian Schunn",154
343,"Philip R. LeDuc",154
344,"James Humann",155
345,"Yan Jin",155
346,"Abdulaziz T. Almaktoom",156
110,"Zequn Wang",156
109,"Pingfeng Wang",156
347,"Hoda Mehrpouyan",157
348,"Brandon Haley",157
142,"Andy Dong",157
143,"Irem Y. Tumer",157
349,"Chris Hoyle",157
182,"Hongyi Xu",158
350,"Yang Li",158
351,"Catherine Brinson",158
185,"Wei Chen",158
352,"Sungwoo Jang",159
353,"Hae-Jin Choi",159
354,"Prabhu Shankar",160
161,"Mohammad Fazelpour",160
162,"Joshua D. Summers",160
161,"Mohammad Fazelpour",161
162,"Joshua D. Summers",161
355,"Hong Zhou",162
356,"Shabaz Ahmed Mohammed",162
357,"Kai Liu",163
358,"Andrés Tovar",163
177,"Jordan Matthews",164
178,"Timothy Klatt",164
179,"Carolyn C. Seepersad",164
180,"Michael Haberman",164
181,"David Shahan",164
192,"Wei Song",165
193,"Hae Chang Gea",165
359,"Ren-Jye Yang",165
360,"Ching-Hung Chuang",165
361,"Kunal R. Khadke",166
362,"Weigang An",166
358,"Andrés Tovar",166
363,"N. Ashwin Bharadwaj",167
25,"James T. Allison",167
364,"Randy H. Ewoldt",167
37,"Jungmok Ma",168
38,"Harrison M. Kim",168
365,"Adam Cutbill",169
226,"Kambiz Haji Hajikolaei",169
227,"G. Gary Wang",169
70,"Kemper Lewis",170
366,"Dave Van Horn",170
39,"Alex Burnap",171
40,"Yi Ren",171
43,"Panos Y. Papalambros",171
42,"Richard Gonzalez",171
367,"Richard Gerth",171
40,"Yi Ren",172
368,"Clayton Scott",172
43,"Panos Y. Papalambros",172
7,"Mohamed Aly",173
8,"Karim Hamza",173
369,"Mohammed Shalaby",173
12,"Ashraf O. Nassef",173
370,"Ata A. Eftekharian",174
371,"Wentao Fu",174
372,"Charlie Manion",174
295,"Matthew I. Campbell",174
373,"Lupin Niranjan Jaishankar",175
209,"Joseph K. Davidson",175
208,"Jami J. Shah",175
85,"Rikard Söderberg",176
374,"Kristina Wärmefjord",176
375,"Lars Lindkvist",176
376,"Xu Zhang",177
377,"Chao Liang",177
378,"Tiedong Si",177
379,"Ding Ding",177
380,"Anand P. Deshmukh",178
25,"James T. Allison",178
381,"Adel A. Younis",179
240,"George H. Cheng",179
227,"G. Gary Wang",179
382,"Zuomin Dong",179
240,"George H. Cheng",180
383,"Adel Younis",180
226,"Kambiz Haji Hajikolaei",180
227,"G. Gary Wang",180
384,"Tim A. P. Gjernes",181
385,"Hanbo Li",181
386,"Kambiz H. Hajikolaei",181
227,"G. Gary Wang",181
387,"Siamak Arzanpour",181
388,"Matthew J. Woodruff",182
145,"Timothy W. Simpson",182
389,"Patrick M. Reed",182
390,"David W. Shahan",183
391,"Peter B. Backlund",183
179,"Carolyn C. Seepersad",183
392,"Yixiang Han",184
393,"Conrad S. Tucker",184
145,"Timothy W. Simpson",184
394,"Erik Davidson",184
395,"Gopal Nadadur",185
214,"Matthew B. Parkinson",185
396,"Alborz Bekhradi",186
300,"Bernard Yannou",186
397,"Romain Farel",186
398,"Benjamin Zimmer",186
399,"Zhipeng Lei",187
400,"James Yang",187
401,"Jared Gragg",188
400,"James Yang",188
402,"Brad Howard",189
400,"James Yang",189
403,"Guolai Yang",189
404,"Feng Zhou",190
405,"Jianxin (Roger) Jiao",190
406,"Shramana Ghosh",191
407,"Hyosang Moon",191
408,"Nina P. Robson",191
409,"Brandon Brown",192
410,"Tarunraj Singh",192
23,"Rahul Rai",192
411,"Shuo Cheng",193
252,"Mian Li",193
308,"Weijun Wang",194
309,"Stéphane Caro",194
310,"Fouad Bennis",194
412,"Jie Hu",195
175,"Yan Wang",195
224,"Kaveh Amouzgar",196
413,"Asim Rashid",196
225,"Niclas Strömberg",196
414,"C. Bakker",197
415,"G. T. Parks",197
416,"J. P. Jarrett",197
417,"J. Schiffmann",198
418,"Aftab Ahmad",199
419,"Kjell Andersson",199
420,"Ulf Sellgren",199
421,"Daniel Shaefer",200
104,"Scott Ferguson",200
422,"Sourobh Ghosh",201
423,"Erich Devendorf",201
70,"Kemper Lewis",201
33,"Kevin Otto",202
424,"Katja Hölttä-Otto",202
145,"Timothy W. Simpson",202
425,"Roberto Raffaeli",203
426,"Marco Malatesta",203
427,"Eugenia Marilungo",203
428,"Michele Germani",203
53,"Souma Chowdhury",204
429,"Victor Maldonado",204
52,"Weiyang Tong",204
54,"Achille Messac",204
430,"Jason Denhart",205
431,"Thomas Gemmer",205
104,"Scott Ferguson",205
432,"Andre Mazzoleni",205
433,"Minjung Kwak",206
434,"Katherine Koritz",206
38,"Harrison M. Kim",206
435,"Ang Liu",207
436,"Stephen C-Y. Lu",207
51,"Seung Ki Moon",208
437,"Hyung Sool Oh",208
438,"Samyeon Kim",208
439,"Cassandra Telenko",209
440,"Carolyn Seepersad",209
254,"Xiaoping Du",210
253,"Zhen Hu",211
254,"Xiaoping Du",211
441,"Xiaoyun Zhang",212
253,"Zhen Hu",212
254,"Xiaoping Du",212
164,"B. P. Gautham",213
442,"Prateek Gupta",213
443,"Nagesh H. Kulkarni",213
172,"Jitesh H. Panchal",213
159,"Janet K. Allen",213
160,"Farrokh Mistree",213
444,"Jianhua Zhou",214
252,"Mian Li",214
258,"Zhonglai Wang",215
107,"Zissimos P. Mourelatos",215
445,"Jing Li",215
446,"Amandeep Singh",215
106,"Igor Baseski",215
105,"Dorin Drignei",216
107,"Zissimos P. Mourelatos",216
108,"Vijitashwa Pandey",216
223,"Michael Kokkolaras",216
256,"David Gorsich",216
108,"Vijitashwa Pandey",217
447,"Annette G. Skowronska",217
107,"Zissimos P. Mourelatos",217
256,"David Gorsich",217
257,"Matthew Castanier",217
231,"Zhen Jiang",218
185,"Wei Chen",218
233,"Daniel W. Apley",218
110,"Zequn Wang",219
109,"Pingfeng Wang",219
175,"Yan Wang",220
448,"Jaekwan Shin",221
264,"Ikjin Lee",221
449,"David Yoo",222
264,"Ikjin Lee",222
450,"Bo Wang",223
451,"Junqiang Bai",223
193,"Hae Chang Gea",223
452,"Joseph R. Piacenza",224
143,"Irem Y. Tumer",224
273,"Christopher Hoyle",224
453,"Mahmoud R. Saad",225
60,"Sayed M. Metwalli",225
454,"Mohamed F. Aly",226
12,"Ashraf O. Nassef",226
8,"Karim Hamza",226
455,"Moataz A. M. Abd El Gawad",227
456,"Hesham A. Hegazi",227
60,"Sayed M. Metwalli",227
457,"Joseph Holub",228
458,"Jung Leng Foo",228
459,"Eliot Winer",228
8,"Karim Hamza",229
369,"Mohammed Shalaby",229
269,"Xike Zhao",230
193,"Hae Chang Gea",230
270,"Limei Xu",230
