key,value,date
Kurt A Chipperfield,0,2011
Kurt A Chipperfield,0,2010 
Kurt A Chipperfield,0,2004 
Kurt A Chipperfield,0,2012 
Kurt A Chipperfield,0,2006 
Kurt A Chipperfield,0,2007 
Kurt A Chipperfield,0,2009 
Kurt A Chipperfield,2.0,2002 
Kurt A Chipperfield,0,2003 
Kurt A Chipperfield,0,2005 
Kurt A Chipperfield,0,2008 
K H Saleh,0,2011 
K H Saleh,0,2010 
K H Saleh,0,2004 
K H Saleh,1.0,2012 
K H Saleh,0,2006 
K H Saleh,0,2007 
K H Saleh,0,2009 
K H Saleh,0,2002 
K H Saleh,0,2003 
K H Saleh,0,2005 
K H Saleh,0,2008 
James Allison,1.0,2011 
James Allison,3.0,2010 
James Allison,0,2004 
James Allison,0,2012 
James Allison,0,2006 
James Allison,1.0,2007 
James Allison,0,2009 
James Allison,0,2002 
James Allison,0,2003 
James Allison,1.0,2005 
James Allison,1.0,2008 
Abdelbasset Hamdi,0,2011 
Abdelbasset Hamdi,0,2010 
Abdelbasset Hamdi,0,2004 
Abdelbasset Hamdi,0,2012 
Abdelbasset Hamdi,1.0,2006 
Abdelbasset Hamdi,0,2007 
Abdelbasset Hamdi,0,2009 
Abdelbasset Hamdi,0,2002 
Abdelbasset Hamdi,0,2003 
Abdelbasset Hamdi,0,2005 
Abdelbasset Hamdi,0,2008 
ChihHao Liu,0,2011 
ChihHao Liu,0,2010 
ChihHao Liu,0,2004 
ChihHao Liu,0,2012 
ChihHao Liu,0,2006 
ChihHao Liu,0,2007 
ChihHao Liu,0,2009 
ChihHao Liu,0,2002 
ChihHao Liu,0,2003 
ChihHao Liu,0,2005 
ChihHao Liu,1.0,2008 
Timothy J Troy,0,2011 
Timothy J Troy,0,2010 
Timothy J Troy,0,2004 
Timothy J Troy,0,2012 
Timothy J Troy,1.0,2006 
Timothy J Troy,0,2007 
Timothy J Troy,0,2009 
Timothy J Troy,0,2002 
Timothy J Troy,0,2003 
Timothy J Troy,0,2005 
Timothy J Troy,0,2008 
Timothy HarrenLewis,0,2011 
Timothy HarrenLewis,0,2010 
Timothy HarrenLewis,0,2004 
Timothy HarrenLewis,0,2012 
Timothy HarrenLewis,0,2006 
Timothy HarrenLewis,0,2007 
Timothy HarrenLewis,0,2009 
Timothy HarrenLewis,0,2002 
Timothy HarrenLewis,0,2003 
Timothy HarrenLewis,0,2005 
Timothy HarrenLewis,1.0,2008 
Ryan Fellini,0,2011 
Ryan Fellini,0,2010 
Ryan Fellini,0,2004 
Ryan Fellini,0,2012 
Ryan Fellini,0,2006 
Ryan Fellini,0,2007 
Ryan Fellini,0,2009 
Ryan Fellini,2.0,2002 
Ryan Fellini,0,2003 
Ryan Fellini,0,2005 
Ryan Fellini,0,2008 
A FarhangMehr,0,2011 
A FarhangMehr,0,2010 
A FarhangMehr,0,2004 
A FarhangMehr,0,2012 
A FarhangMehr,0,2006 
A FarhangMehr,0,2007 
A FarhangMehr,0,2009 
A FarhangMehr,1.0,2002 
A FarhangMehr,1.0,2003 
A FarhangMehr,0,2005 
A FarhangMehr,0,2008 
Niclas Stromberg,0,2011 
Niclas Stromberg,0,2010 
Niclas Stromberg,0,2004 
Niclas Stromberg,0,2012 
Niclas Stromberg,0,2006 
Niclas Stromberg,0,2007 
Niclas Stromberg,1.0,2009 
Niclas Stromberg,0,2002 
Niclas Stromberg,0,2003 
Niclas Stromberg,0,2005 
Niclas Stromberg,0,2008 
Bahattin Koc,0,2011 
Bahattin Koc,0,2010 
Bahattin Koc,0,2004 
Bahattin Koc,0,2012 
Bahattin Koc,1.0,2006 
Bahattin Koc,0,2007 
Bahattin Koc,0,2009 
Bahattin Koc,0,2002 
Bahattin Koc,0,2003 
Bahattin Koc,0,2005 
Bahattin Koc,0,2008 
C Grace Heckmann,1.0,2011 
C Grace Heckmann,0,2010 
C Grace Heckmann,0,2004 
C Grace Heckmann,0,2012 
C Grace Heckmann,0,2006 
C Grace Heckmann,0,2007 
C Grace Heckmann,0,2009 
C Grace Heckmann,0,2002 
C Grace Heckmann,0,2003 
C Grace Heckmann,0,2005 
C Grace Heckmann,0,2008 
Kazuhiro Aoyama,0,2011 
Kazuhiro Aoyama,0,2010 
Kazuhiro Aoyama,0,2004 
Kazuhiro Aoyama,1.0,2012 
Kazuhiro Aoyama,1.0,2006 
Kazuhiro Aoyama,0,2007 
Kazuhiro Aoyama,0,2009 
Kazuhiro Aoyama,0,2002 
Kazuhiro Aoyama,0,2003 
Kazuhiro Aoyama,0,2005 
Kazuhiro Aoyama,0,2008 
Takashi Suyama,0,2011 
Takashi Suyama,0,2010 
Takashi Suyama,0,2004 
Takashi Suyama,0,2012 
Takashi Suyama,0,2006 
Takashi Suyama,1.0,2007 
Takashi Suyama,0,2009 
Takashi Suyama,0,2002 
Takashi Suyama,0,2003 
Takashi Suyama,0,2005 
Takashi Suyama,0,2008 
Kevin G Harding,0,2011 
Kevin G Harding,0,2010 
Kevin G Harding,0,2004 
Kevin G Harding,0,2012 
Kevin G Harding,0,2006 
Kevin G Harding,0,2007 
Kevin G Harding,0,2009 
Kevin G Harding,0,2002 
Kevin G Harding,1.0,2003 
Kevin G Harding,0,2005 
Kevin G Harding,0,2008 
J K Allen,0,2011 
J K Allen,0,2010 
J K Allen,0,2004 
J K Allen,0,2012 
J K Allen,0,2006 
J K Allen,0,2007 
J K Allen,0,2009 
J K Allen,0,2002 
J K Allen,0,2003 
J K Allen,0,2005 
J K Allen,1.0,2008 
Lijun Wang,0,2011 
Lijun Wang,0,2010 
Lijun Wang,0,2004 
Lijun Wang,0,2012 
Lijun Wang,0,2006 
Lijun Wang,0,2007 
Lijun Wang,0,2009 
Lijun Wang,1.0,2002 
Lijun Wang,0,2003 
Lijun Wang,0,2005 
Lijun Wang,0,2008 
C Yu,0,2011 
C Yu,0,2010 
C Yu,0,2004 
C Yu,0,2012 
C Yu,0,2006 
C Yu,0,2007 
C Yu,0,2009 
C Yu,0,2002 
C Yu,0,2003 
C Yu,1.0,2005 
C Yu,0,2008 
Janet K Allen,1.0,2011 
Janet K Allen,1.0,2010 
Janet K Allen,2.0,2004 
Janet K Allen,0,2012 
Janet K Allen,4.0,2006 
Janet K Allen,4.0,2007 
Janet K Allen,3.0,2009 
Janet K Allen,3.0,2002 
Janet K Allen,1.0,2003 
Janet K Allen,5.0,2005 
Janet K Allen,1.0,2008 
Le Chen,1.0,2011 
Le Chen,0,2010 
Le Chen,0,2004 
Le Chen,0,2012 
Le Chen,0,2006 
Le Chen,0,2007 
Le Chen,0,2009 
Le Chen,0,2002 
Le Chen,0,2003 
Le Chen,0,2005 
Le Chen,0,2008 
Hyung Sool Oh,0,2011 
Hyung Sool Oh,0,2010 
Hyung Sool Oh,0,2004 
Hyung Sool Oh,1.0,2012 
Hyung Sool Oh,0,2006 
Hyung Sool Oh,0,2007 
Hyung Sool Oh,0,2009 
Hyung Sool Oh,0,2002 
Hyung Sool Oh,0,2003 
Hyung Sool Oh,0,2005 
Hyung Sool Oh,0,2008 
Hakan U Artar,0,2011 
Hakan U Artar,0,2010 
Hakan U Artar,0,2004 
Hakan U Artar,0,2012 
Hakan U Artar,0,2006 
Hakan U Artar,1.0,2007 
Hakan U Artar,0,2009 
Hakan U Artar,0,2002 
Hakan U Artar,0,2003 
Hakan U Artar,0,2005 
Hakan U Artar,0,2008 
Zhihuang Dai,0,2011 
Zhihuang Dai,0,2010 
Zhihuang Dai,1.0,2004 
Zhihuang Dai,0,2012 
Zhihuang Dai,0,2006 
Zhihuang Dai,0,2007 
Zhihuang Dai,0,2009 
Zhihuang Dai,0,2002 
Zhihuang Dai,2.0,2003 
Zhihuang Dai,0,2005 
Zhihuang Dai,0,2008 
TungKing See,0,2011 
TungKing See,0,2010 
TungKing See,1.0,2004 
TungKing See,0,2012 
TungKing See,0,2006 
TungKing See,0,2007 
TungKing See,0,2009 
TungKing See,1.0,2002 
TungKing See,1.0,2003 
TungKing See,1.0,2005 
TungKing See,0,2008 
Camilo B Resende,1.0,2011 
Camilo B Resende,0,2010 
Camilo B Resende,0,2004 
Camilo B Resende,0,2012 
Camilo B Resende,0,2006 
Camilo B Resende,0,2007 
Camilo B Resende,0,2009 
Camilo B Resende,0,2002 
Camilo B Resende,0,2003 
Camilo B Resende,0,2005 
Camilo B Resende,0,2008 
Gregory A Keoleian,0,2011 
Gregory A Keoleian,0,2010 
Gregory A Keoleian,0,2004 
Gregory A Keoleian,0,2012 
Gregory A Keoleian,0,2006 
Gregory A Keoleian,0,2007 
Gregory A Keoleian,1.0,2009 
Gregory A Keoleian,0,2002 
Gregory A Keoleian,0,2003 
Gregory A Keoleian,0,2005 
Gregory A Keoleian,0,2008 
Matti Heiska,0,2011 
Matti Heiska,0,2010 
Matti Heiska,0,2004 
Matti Heiska,0,2012 
Matti Heiska,0,2006 
Matti Heiska,0,2007 
Matti Heiska,1.0,2009 
Matti Heiska,0,2002 
Matti Heiska,0,2003 
Matti Heiska,0,2005 
Matti Heiska,0,2008 
I Kimura,0,2011 
I Kimura,0,2010 
I Kimura,0,2004 
I Kimura,0,2012 
I Kimura,0,2006 
I Kimura,0,2007 
I Kimura,0,2009 
I Kimura,1.0,2002 
I Kimura,0,2003 
I Kimura,0,2005 
I Kimura,0,2008 
Harrison M Kim,1.0,2011 
Harrison M Kim,2.0,2010 
Harrison M Kim,0,2004 
Harrison M Kim,1.0,2012 
Harrison M Kim,1.0,2006 
Harrison M Kim,2.0,2007 
Harrison M Kim,2.0,2009 
Harrison M Kim,0,2002 
Harrison M Kim,0,2003 
Harrison M Kim,1.0,2005 
Harrison M Kim,0,2008 
K P Karunakaran,0,2011 
K P Karunakaran,0,2010 
K P Karunakaran,0,2004 
K P Karunakaran,0,2012 
K P Karunakaran,1.0,2006 
K P Karunakaran,0,2007 
K P Karunakaran,0,2009 
K P Karunakaran,0,2002 
K P Karunakaran,0,2003 
K P Karunakaran,0,2005 
K P Karunakaran,0,2008 
S Nishiwaki,0,2011 
S Nishiwaki,0,2010 
S Nishiwaki,0,2004 
S Nishiwaki,0,2012 
S Nishiwaki,0,2006 
S Nishiwaki,0,2007 
S Nishiwaki,0,2009 
S Nishiwaki,0,2002 
S Nishiwaki,0,2003 
S Nishiwaki,0,2005 
S Nishiwaki,1.0,2008 
KueiYuan Chan,0,2011 
KueiYuan Chan,2.0,2010 
KueiYuan Chan,0,2004 
KueiYuan Chan,1.0,2012 
KueiYuan Chan,1.0,2006 
KueiYuan Chan,0,2007 
KueiYuan Chan,1.0,2009 
KueiYuan Chan,0,2002 
KueiYuan Chan,0,2003 
KueiYuan Chan,1.0,2005 
KueiYuan Chan,1.0,2008 
Melissa Gardenghi,0,2011 
Melissa Gardenghi,1.0,2010 
Melissa Gardenghi,0,2004 
Melissa Gardenghi,0,2012 
Melissa Gardenghi,0,2006 
Melissa Gardenghi,0,2007 
Melissa Gardenghi,0,2009 
Melissa Gardenghi,0,2002 
Melissa Gardenghi,0,2003 
Melissa Gardenghi,0,2005 
Melissa Gardenghi,0,2008 
Vernet Lasrado,0,2011 
Vernet Lasrado,0,2010 
Vernet Lasrado,0,2004 
Vernet Lasrado,0,2012 
Vernet Lasrado,0,2006 
Vernet Lasrado,0,2007 
Vernet Lasrado,0,2009 
Vernet Lasrado,0,2002 
Vernet Lasrado,0,2003 
Vernet Lasrado,0,2005 
Vernet Lasrado,2.0,2008 
Ashraf Nassef,0,2011 
Ashraf Nassef,4.0,2010 
Ashraf Nassef,0,2004 
Ashraf Nassef,2.0,2012 
Ashraf Nassef,0,2006 
Ashraf Nassef,1.0,2007 
Ashraf Nassef,1.0,2009 
Ashraf Nassef,1.0,2002 
Ashraf Nassef,3.0,2003 
Ashraf Nassef,0,2005 
Ashraf Nassef,2.0,2008 
YungChieh Hung,0,2011 
YungChieh Hung,1.0,2010 
YungChieh Hung,0,2004 
YungChieh Hung,0,2012 
YungChieh Hung,0,2006 
YungChieh Hung,0,2007 
YungChieh Hung,0,2009 
YungChieh Hung,0,2002 
YungChieh Hung,0,2003 
YungChieh Hung,0,2005 
YungChieh Hung,0,2008 
Liping He,0,2011 
Liping He,0,2010 
Liping He,0,2004 
Liping He,0,2012 
Liping He,0,2006 
Liping He,1.0,2007 
Liping He,0,2009 
Liping He,0,2002 
Liping He,0,2003 
Liping He,0,2005 
Liping He,0,2008 
Sam Anand,0,2011 
Sam Anand,0,2010 
Sam Anand,0,2004 
Sam Anand,0,2012 
Sam Anand,0,2006 
Sam Anand,0,2007 
Sam Anand,0,2009 
Sam Anand,0,2002 
Sam Anand,0,2003 
Sam Anand,0,2005 
Sam Anand,1.0,2008 
Dan Jensen,1.0,2011 
Dan Jensen,1.0,2010 
Dan Jensen,0,2004 
Dan Jensen,1.0,2012 
Dan Jensen,1.0,2006 
Dan Jensen,0,2007 
Dan Jensen,1.0,2009 
Dan Jensen,0,2002 
Dan Jensen,0,2003 
Dan Jensen,0,2005 
Dan Jensen,1.0,2008 
David Haynor,0,2011 
David Haynor,0,2010 
David Haynor,0,2004 
David Haynor,0,2012 
David Haynor,0,2006 
