Andreas Kain,1.0,2008 
Andreas Larsson,1.0,2012 
Andreas Nordgren,1.0,2005 
Andreas Wunsch,1.0,2013 
Andres Tovar,1.0,2003 
Andres Tovar,1.0,2009 
Andres Tovar,1.0,2010 
Andres Tovar,3.0,2012 
Andres Tovar,2.0,2013 
Andrew A. Shapiro,1.0,2008 
Andrew A. Shapiro,1.0,2009 
Andrew Fischer,1.0,2007 
Andrew H. Tilstra,2.0,2009 
Andrew Hayes,1.0,2009 
Andrew Olewnik,1.0,2005 
Andrew Olewnik,1.0,2010 
Andrew Olewnik,1.0,2011 
Andrew Olewnik,1.0,2012 
Andrew P. Murray,1.0,2003 
Andrew R. Schnell,1.0,2004 
Andrew T. Olewnik,1.0,2007 
Andrew W. Heutchy,1.0,2007 
Andy Dong,1.0,2013 
Andy Dong,1.0,2014 
Andy Keane,1.0,2009 
Ang Liu,1.0,2013 
Angel G. Perez,1.0,2011 
Angran Xiao,1.0,2002 
Anil K. Annepu,1.0,2012 
Anil Kumar Maddulapalli,1.0,2012 
Anil Sachdev,1.0,2003 
Anirban Chaudhuri,1.0,2010 
Anirban Dutta,1.0,2003 
Anne Marsan,1.0,2002 
Annette G. Skowronska,1.0,2013 
Annette Skowronska,1.0,2014 
Anoop A. Mullur,2.0,2005 
Anoop K. Dhingra,1.0,2007 
Anoop K. Dhingra,1.0,2009 
Anoop K. Dhingra,1.0,2012 
Anthony Florita,1.0,2014 
Anthony Garland,1.0,2014 
Anthony M. Roy,1.0,2008 
Anthony M. Roy,1.0,2009 
Anthony Wong,1.0,2014 
Antoine Dagher,1.0,2008 
Antony Roy Mileham,1.0,2006 
Anukal Chiralaksanakul,1.0,2004 
Anupam Saxena,2.0,2003 
Anupam Saxena,1.0,2007 
Anurag Purwar,1.0,2005 
Apurva Kumar,1.0,2005 
Apurva Kumar,1.0,2006 
Aravind Alwan,1.0,2006 
Armand D. Assadi,1.0,2004 
Armen Mkrtchyan,1.0,2014 
Art Boyars,1.0,2005 
Artemis Kloess,1.0,2008 
Asa Ericson,1.0,2012 
Asad A. Usman,1.0,2002 
Ashish D. Deshpande,1.0,2003 
Ashish Khetan,1.0,2014 
Ashish Macwan,1.0,2005 
Ashitava Ghosal,2.0,2003 
Ashok V. Kumar,1.0,2003 
Ashraf Nassef,1.0,2003 
Ashraf Nassef,1.0,2010 
Ashraf O. Nassef,2.0,2002 
Ashraf O. Nassef,2.0,2003 
Ashraf O. Nassef,1.0,2007 
Ashraf O. Nassef,2.0,2008 
Ashraf O. Nassef,1.0,2009 
Ashraf O. Nassef,3.0,2010 
Ashraf O. Nassef,2.0,2012 
Ashraf O. Nassef,4.0,2013 
Ashraf O. Nassef,3.0,2014 
Ashutosh Ballal,1.0,2004 
Ashwin A. Seshia,1.0,2006 
Ashwin Gurnani,1.0,2005 
Ashwin Michaelraj,1.0,2008 
Ashwin P. Gurnani,1.0,2003 
Ashwin P. Gurnani,1.0,2007 
Asim Rashid,1.0,2013 
Asli Sahin,1.0,2006 
Ata A. Eftekharian,1.0,2009 
Ata A. Eftekharian,1.0,2011 
Ata A. Eftekharian,1.0,2012 
Ata A. Eftekharian,1.0,2013 
Athulan Vijayaraghavan,1.0,2007 
Atia E. Khalifa,1.0,2011 
Atsuro Iga,1.0,2008 
Atsuro Iga,1.0,2009 
Atsushi Kawamoto,1.0,2014 
Atsushi Konno,1.0,2003 
Atsushi Yamada,1.0,2003 
Avanti Jain,1.0,2010 
Avinash Kolla,1.0,2010 
Axel Nordin,1.0,2011 
Axel Nordin,1.0,2013 
Axel Nordin,1.0,2014 
Axel Reichwein,1.0,2009 
Ayako Nomura,1.0,2004 
Ayan Sinha,1.0,2009 
Ayan Sinha,1.0,2010 
Ayan Sinha,1.0,2011 
Aylmer Johnson,1.0,2009 
Ayman M. A. Youssef,1.0,2007 
Ayman M. A. Youssef,1.0,2010 
Ayman Wasfy,1.0,2007 
Ayman Youssef,1.0,2010 
B. Besharati,1.0,2002 
B. Besharati,1.0,2004 
B. D. Youn,1.0,2011 
B. Falcidieno,1.0,2005 
B. Falcidieno,1.0,2008 
B. Klein,1.0,2008 
B. P. Gautham,1.0,2013 
B. P. Gautham,2.0,2014 
B. S. Kang,1.0,2005 
B. Vermeulen,1.0,2005 
Bahattin Koc,1.0,2006 
Barbar Akle,1.0,2002 
Baris Canbaz,1.0,2011 
Baris Canbaz,1.0,2012 
Baris Canbaz,1.0,2013 
Bart D. Frischknecht,1.0,2011 
Bart D. Frischknecht,1.0,2013 
Bart Frischknecht,1.0,2008 
Bart Frischknecht,1.0,2009 
Barthelemy Longueville,1.0,2004 
Basavaraj Tonshal,1.0,2002 
Basavaraj Tonshal,1.0,2004 
Basavaraj Tonshal,1.0,2005 
Basavaraj Tonshal,1.0,2006 
Basavaraj Tonshal,1.0,2007 
