Farrokh Mistree,5.0,2014 
Fouad Bennis,2.0,2003 
Fouad Bennis,1.0,2009 
Fouad Bennis,1.0,2011 
Fouad Bennis,2.0,2012 
Fouad Bennis,2.0,2013 
Frank Liou,1.0,2004 
Frank Liou,1.0,2006 
Frank Liou,1.0,2007 
Frank Liou,1.0,2008 
Frank Liou,2.0,2009 
Frank Liou,2.0,2010 
G. Gary Wang,1.0,2002 
G. Gary Wang,3.0,2003 
G. Gary Wang,1.0,2004 
G. Gary Wang,1.0,2005 
G. Gary Wang,1.0,2006 
G. Gary Wang,3.0,2007 
G. Gary Wang,1.0,2008 
G. Gary Wang,1.0,2009 
G. Gary Wang,4.0,2010 
G. Gary Wang,2.0,2011 
G. Gary Wang,1.0,2012 
G. Gary Wang,5.0,2013 
G. Gary Wang,4.0,2014 
Georges Fadel,1.0,2004 
Georges Fadel,2.0,2006 
Georges Fadel,1.0,2007 
Georges Fadel,1.0,2008 
Georges Fadel,1.0,2009 
Georges Fadel,1.0,2011 
Georges Fadel,3.0,2012 
Georges Fadel,3.0,2014 
Georges M. Fadel,1.0,2003 
Georges M. Fadel,1.0,2004 
Georges M. Fadel,3.0,2005 
Georges M. Fadel,1.0,2006 
Georges M. Fadel,1.0,2009 
Georges M. Fadel,1.0,2010 
Georges M. Fadel,1.0,2012 
Gul E. Okudan,1.0,2004 
Gul E. Okudan,1.0,2005 
Gul E. Okudan,1.0,2006 
Gul E. Okudan,1.0,2007 
Gul E. Okudan,1.0,2008 
Gul E. Okudan,1.0,2009 
Gul E. Okudan,1.0,2011 
Gul E. Okudan,1.0,2012 
Hae Chang Gea,1.0,2002 
Hae Chang Gea,2.0,2003 
Hae Chang Gea,1.0,2004 
Hae Chang Gea,2.0,2005 
Hae Chang Gea,3.0,2006 
Hae Chang Gea,1.0,2007 
Hae Chang Gea,2.0,2008 
Hae Chang Gea,2.0,2009 
Hae Chang Gea,2.0,2010 
Hae Chang Gea,3.0,2011 
Hae Chang Gea,2.0,2012 
Hae Chang Gea,3.0,2013 
Hae Chang Gea,2.0,2014 
Hae-Jin Choi,1.0,2002 
Hae-Jin Choi,2.0,2005 
Hae-Jin Choi,1.0,2006 
Hae-Jin Choi,1.0,2007 
Hae-Jin Choi,1.0,2009 
Hae-Jin Choi,1.0,2013 
Harrison M. Kim,1.0,2005 
Harrison M. Kim,1.0,2006 
Harrison M. Kim,2.0,2007 
Harrison M. Kim,2.0,2009 
Harrison M. Kim,2.0,2010 
Harrison M. Kim,1.0,2011 
Harrison M. Kim,3.0,2012 
Harrison M. Kim,2.0,2013 
Harrison M. Kim,1.0,2014 
Hesham A. Hegazi,1.0,2002 
Hesham A. Hegazi,1.0,2003 
Hesham A. Hegazi,2.0,2005 
Hesham A. Hegazi,1.0,2008 
Hesham A. Hegazi,1.0,2012 
Ikjin Lee,1.0,2006 
Ikjin Lee,2.0,2007 
Ikjin Lee,1.0,2008 
Ikjin Lee,3.0,2009 
Ikjin Lee,2.0,2010 
Ikjin Lee,2.0,2011 
Ikjin Lee,3.0,2012 
Ikjin Lee,2.0,2013 
Ikjin Lee,1.0,2014 
Irem Y. Tumer,1.0,2005 
Irem Y. Tumer,2.0,2006 
Irem Y. Tumer,1.0,2011 
Irem Y. Tumer,1.0,2012 
Irem Y. Tumer,1.0,2013 
Irem Y. Tumer,1.0,2014 
James T. Allison,1.0,2007 
James T. Allison,1.0,2008 
James T. Allison,3.0,2010 
James T. Allison,1.0,2011 
James T. Allison,1.0,2012 
James T. Allison,3.0,2013 
James T. Allison,2.0,2014 
Jami J. Shah,1.0,2002 
Jami J. Shah,1.0,2004 
Jami J. Shah,4.0,2005 
Jami J. Shah,1.0,2006 
Jami J. Shah,1.0,2007 
Jami J. Shah,2.0,2009 
Jami J. Shah,1.0,2011 
Jami J. Shah,1.0,2012 
Jami J. Shah,1.0,2013 
Jami J. Shah,1.0,2014 
Janet K. Allen,3.0,2002 
Janet K. Allen,1.0,2003 
Janet K. Allen,2.0,2004 
Janet K. Allen,5.0,2005 
Janet K. Allen,4.0,2006 
Janet K. Allen,4.0,2007 
Janet K. Allen,1.0,2008 
Janet K. Allen,3.0,2009 
Janet K. Allen,2.0,2010 
Janet K. Allen,1.0,2011 
Janet K. Allen,3.0,2013 
Janet K. Allen,5.0,2014 
Jay D. Martin,1.0,2003 
Jay D. Martin,1.0,2004 
Jay D. Martin,1.0,2005 
Jay D. Martin,1.0,2007 
Jay D. Martin,1.0,2008 
Jay D. Martin,1.0,2011 
Jeremy J. Michalek,1.0,2003 
Jeremy J. Michalek,1.0,2004 
Jeremy J. Michalek,1.0,2005 
Jeremy J. Michalek,1.0,2006 
Jeremy J. Michalek,3.0,2007 
Jeremy J. Michalek,4.0,2008 
Jeremy J. Michalek,1.0,2009 
Jeremy J. Michalek,1.0,2010 
Jeremy J. Michalek,1.0,2011 
Jeremy J. Michalek,2.0,2013 
Jianzhong Ruan,1.0,2002 
Jianzhong Ruan,1.0,2003 
Jianzhong Ruan,1.0,2005 
Jianzhong Ruan,1.0,2006 
Jianzhong Ruan,1.0,2007 
Jianzhong Ruan,1.0,2008 
Jianzhong Ruan,2.0,2009 
Jianzhong Ruan,2.0,2010 
Jianzhong Ruan,1.0,2011 
Jie Zhang,2.0,2010 
Jie Zhang,2.0,2011 
Jie Zhang,2.0,2013 
Jie Zhang,1.0,2014 
Jitesh H. Panchal,2.0,2005 
Jitesh H. Panchal,2.0,2006 
Jitesh H. Panchal,2.0,2007 
Jitesh H. Panchal,1.0,2008 
Jitesh H. Panchal,1.0,2009 
Jitesh H. Panchal,1.0,2011 
Jitesh H. Panchal,1.0,2012 
Jitesh H. Panchal,1.0,2013 
Jitesh H. Panchal,2.0,2014 
Johan Olvander,3.0,2007 
Johan Olvander,1.0,2008 
Johan Olvander,1.0,2009 
Johan Olvander,1.0,2010 
Johan Olvander,1.0,2011 
Johan Olvander,1.0,2012 
Johan Olvander,1.0,2014 
John E. Renaud,2.0,2003 
John E. Renaud,1.0,2004 
John E. Renaud,1.0,2006 
John E. Renaud,2.0,2007 
John E. Renaud,1.0,2009 
John E. Renaud,1.0,2010 
Jonathan Cagan,1.0,2002 
Jonathan Cagan,1.0,2004 
Jonathan Cagan,1.0,2007 
Jonathan Cagan,2.0,2008 
Jonathan Cagan,1.0,2009 
Jonathan Cagan,2.0,2010 
Jonathan Cagan,2.0,2011 
Jonathan Cagan,1.0,2012 
Jonathan Cagan,3.0,2013 
Jonathan Cagan,1.0,2014 
Joseph K. Davidson,1.0,2004 
