DETC2011-47200,DETC2012-70529,1
DETC2011-47200,DETC2011-48000,2
DETC2011-47200,DETC2007-34687,3
DETC2011-47200,DETC2008-49871,4
DETC2011-47200,DETC2004-57212,5
DETC2003-48723,DETC2012-70529,1
DETC2003-48723,DETC2011-48608,2
DETC2003-48723,DETC2007-34892,3
DETC2003-48723,DETC2004-57255,4
DETC2003-48723,DETC2004-57258,5
DETC2003-48722,DETC2012-70529,1
DETC2003-48722,DETC2011-48608,2
DETC2003-48722,DETC2011-48000,3
DETC2003-48722,DETC2004-57255,4
DETC2003-48722,DETC2004-57258,5
DETC2003-48721,DETC2012-70529,1
DETC2003-48721,DETC2011-48000,2
DETC2003-48721,DETC2007-34687,3
DETC2003-48721,DETC2011-47487,4
DETC2003-48721,DETC2008-49871,5
DETC2003-48720,DETC2012-70529,1
DETC2003-48720,DETC2011-48000,2
DETC2003-48720,DETC2007-34687,3
DETC2003-48720,DETC2011-47487,4
DETC2003-48720,DETC2008-49871,5
DETC2003-48727,DETC2012-70529,1
DETC2003-48727,DETC2007-34892,2
DETC2003-48727,DETC2011-48000,3
DETC2003-48727,DETC2004-57255,4
DETC2003-48727,DETC2004-57258,5
DETC2007-34299,DETC2012-70529,1
DETC2007-34299,DETC2011-48000,2
DETC2007-34299,DETC2007-34687,3
DETC2007-34299,DETC2011-47487,4
DETC2007-34299,DETC2008-49871,5
DETC2003-48725,DETC2012-70529,1
DETC2003-48725,DETC2011-48608,2
DETC2003-48725,DETC2007-34892,3
DETC2003-48725,DETC2004-57255,4
DETC2003-48725,DETC2004-57258,5
DETC2003-48724,DETC2012-70529,1
DETC2003-48724,DETC2011-48608,2
DETC2003-48724,DETC2007-34892,3
DETC2003-48724,DETC2004-57258,4
DETC2003-48724,DETC2012-70521,5
DETC2002-34040,DETC2012-70529,1
DETC2002-34040,DETC2011-48608,2
DETC2002-34040,DETC2007-34892,3
DETC2002-34040,DETC2011-48000,4
DETC2002-34040,DETC2004-57258,5
DETC2003-48729,DETC2012-70529,1
DETC2003-48729,DETC2011-48608,2
DETC2003-48729,DETC2007-34892,3
DETC2003-48729,DETC2011-48000,4
DETC2003-48729,DETC2004-57255,5
DETC2003-48728,DETC2012-70529,1
DETC2003-48728,DETC2011-48608,2
DETC2003-48728,DETC2007-34892,3
DETC2003-48728,DETC2004-57255,4
DETC2003-48728,DETC2004-57258,5
DETC2006-99316,DETC2012-70529,1
DETC2006-99316,DETC2011-48000,2
DETC2006-99316,DETC2007-34687,3
DETC2006-99316,DETC2008-49871,4
DETC2006-99316,DETC2004-57212,5
DETC2007-35554,DETC2012-70529,1
DETC2007-35554,DETC2011-48608,2
DETC2007-35554,DETC2007-34892,3
DETC2007-35554,DETC2004-57255,4
DETC2007-35554,DETC2004-57258,5
DETC2008-49425,DETC2012-70529,1
DETC2008-49425,DETC2011-48608,2
DETC2008-49425,DETC2007-34892,3
DETC2008-49425,DETC2004-57255,4
DETC2008-49425,DETC2004-57258,5
DETC2004-57254,DETC2012-70529,1
DETC2004-57254,DETC2011-48608,2
DETC2004-57254,DETC2007-34892,3
DETC2004-57254,DETC2011-48000,4
DETC2004-57254,DETC2004-57255,5
DETC2004-57255,DETC2012-70529,1
DETC2004-57255,DETC2011-48608,2
DETC2004-57255,DETC2007-34892,3
DETC2004-57255,DETC2011-48000,4
DETC2004-57255,DETC2004-57258,5
DETC2007-34674,DETC2012-70529,1
DETC2007-34674,DETC2011-48608,2
DETC2007-34674,DETC2007-34892,3
DETC2007-34674,DETC2004-57255,4
DETC2007-34674,DETC2004-57258,5
DETC2004-57257,DETC2012-70529,1
DETC2004-57257,DETC2007-34892,2
DETC2004-57257,DETC2011-48000,3
DETC2004-57257,DETC2004-57255,4
DETC2004-57257,DETC2004-57258,5
DETC2004-57258,DETC2012-70529,1
DETC2004-57258,DETC2011-48608,2
DETC2004-57258,DETC2007-34892,3
DETC2004-57258,DETC2011-48000,4
DETC2004-57258,DETC2004-57255,5
DETC2008-49544,DETC2012-70529,1
DETC2008-49544,DETC2011-48608,2
DETC2008-49544,DETC2007-34892,3
DETC2008-49544,DETC2004-57255,4
DETC2008-49544,DETC2004-57258,5
DETC2008-49428,DETC2012-70529,1
DETC2008-49428,DETC2011-48608,2
DETC2008-49428,DETC2007-34892,3
DETC2008-49428,DETC2004-57255,4
DETC2008-49428,DETC2012-70521,5
DETC2008-49429,DETC2012-70529,1
DETC2008-49429,DETC2011-48608,2
DETC2008-49429,DETC2007-34892,3
DETC2008-49429,DETC2004-57255,4
DETC2008-49429,DETC2004-57258,5
DETC2008-49541,DETC2012-70529,1
DETC2008-49541,DETC2011-48608,2
DETC2008-49541,DETC2007-34892,3
DETC2008-49541,DETC2004-57258,4
DETC2008-49541,DETC2012-70521,5
DETC2009-86701,DETC2012-70529,1
DETC2009-86701,DETC2011-48608,2
DETC2009-86701,DETC2007-34892,3
DETC2009-86701,DETC2004-57258,4
DETC2009-86701,DETC2012-70521,5
DETC2009-86703,DETC2012-70529,1
DETC2009-86703,DETC2011-48608,2
DETC2009-86703,DETC2007-34892,3
DETC2009-86703,DETC2011-48000,4
DETC2009-86703,DETC2012-70521,5
DETC2010-28208,DETC2012-70529,1
DETC2010-28208,DETC2011-48608,2
DETC2010-28208,DETC2007-34892,3
DETC2010-28208,DETC2011-48000,4
DETC2010-28208,DETC2004-57255,5
DETC2006-99535,DETC2012-70529,1
DETC2006-99535,DETC2011-48000,2
DETC2006-99535,DETC2007-34687,3
DETC2006-99535,DETC2011-47487,4
DETC2006-99535,DETC2008-49871,5
DETC2006-99534,DETC2012-70529,1
DETC2006-99534,DETC2011-48608,2
DETC2006-99534,DETC2007-34892,3
DETC2006-99534,DETC2004-57255,4
DETC2006-99534,DETC2004-57258,5
DETC2006-99537,DETC2012-70529,1
DETC2006-99537,DETC2011-48608,2
DETC2006-99537,DETC2007-34892,3
DETC2006-99537,DETC2011-48000,4
DETC2006-99537,DETC2004-57255,5
DETC2009-86780,DETC2012-70529,1
DETC2009-86780,DETC2011-48608,2
DETC2009-86780,DETC2007-34892,3
DETC2009-86780,DETC2011-48000,4
DETC2009-86780,DETC2004-57255,5
DETC2006-99538,DETC2012-70529,1
DETC2006-99538,DETC2011-48608,2
DETC2006-99538,DETC2007-34892,3
DETC2006-99538,DETC2011-48000,4
DETC2006-99538,DETC2004-57255,5
DETC2002-34092,DETC2012-70529,1
DETC2002-34092,DETC2011-48608,2
DETC2002-34092,DETC2007-34892,3
DETC2002-34092,DETC2004-57258,4
DETC2002-34092,DETC2012-70521,5
DETC2005-85316,DETC2012-70529,1
DETC2005-85316,DETC2011-48608,2
DETC2005-85316,DETC2007-34892,3
DETC2005-85316,DETC2004-57255,4
DETC2005-85316,DETC2004-57258,5
DETC2005-85313,DETC2012-70529,1
DETC2005-85313,DETC2011-48608,2
DETC2005-85313,DETC2007-34892,3
DETC2005-85313,DETC2011-48000,4
DETC2005-85313,DETC2004-57255,5
DETC2012-71525,DETC2012-70529,1
DETC2012-71525,DETC2011-48608,2
DETC2012-71525,DETC2007-34892,3
DETC2012-71525,DETC2011-48000,4
DETC2012-71525,DETC2004-57255,5
DETC2011-47761,DETC2012-70529,1
DETC2011-47761,DETC2011-48000,2
DETC2011-47761,DETC2007-34687,3
DETC2011-47761,DETC2011-47487,4
DETC2011-47761,DETC2004-57212,5
DETC2007-34688,DETC2012-70529,1
DETC2007-34688,DETC2011-48608,2
DETC2007-34688,DETC2007-34892,3
DETC2007-34688,DETC2004-57258,4
DETC2007-34688,DETC2012-70521,5
DETC2007-34687,DETC2012-70529,1
DETC2007-34687,DETC2011-48608,2
DETC2007-34687,DETC2007-34892,3
DETC2007-34687,DETC2011-48000,4
DETC2007-34687,DETC2004-57255,5
DETC2009-87268,DETC2012-70529,1
DETC2009-87268,DETC2011-48000,2
DETC2009-87268,DETC2007-34687,3
DETC2009-87268,DETC2008-49871,4
DETC2009-87268,DETC2004-57212,5
DETC2007-34685,DETC2012-70529,1
DETC2007-34685,DETC2011-48608,2
DETC2007-34685,DETC2004-57255,3
DETC2007-34685,DETC2004-57258,4
DETC2007-34685,DETC2012-70521,5
DETC2011-48060,DETC2012-70529,1
DETC2011-48060,DETC2011-48608,2
DETC2011-48060,DETC2007-34892,3
DETC2011-48060,DETC2011-48000,4
DETC2011-48060,DETC2004-57258,5
DETC2005-85528,DETC2012-70529,1
DETC2005-85528,DETC2011-48608,2
DETC2005-85528,DETC2011-48000,3
DETC2005-85528,DETC2004-57255,4
DETC2005-85528,DETC2004-57258,5
DETC2007-35482,DETC2012-70529,1
DETC2007-35482,DETC2011-48608,2
DETC2007-35482,DETC2007-34892,3
DETC2007-35482,DETC2011-48000,4
DETC2007-35482,DETC2004-57255,5
